Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2024,1,1,objective,,,,A poem that is shaped in the image of the object it talks about is,concrete,lyrical,metaphysical,romantic,A,https://myschool.ng/classroom/literature-in-english/71956?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,2,objective,,,,*The choir is on wheels to a convention* illustrates,Hyperbole,Allusion,Metonymy,Personification,C,https://myschool.ng/classroom/literature-in-english/71957?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,3,objective,,,,Which of the following helps best to create and sustain interest in a literary work?,plot,rhyme,rhythm,suspense,D,https://myschool.ng/classroom/literature-in-english/71958?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,4,objective,,,,The dominant device used in *Macbeth* doth murdered sleep; the innocent sleep is,alliteration,conceit,metonymy,personification,D,https://myschool.ng/classroom/literature-in-english/71959?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,5,objective,,,,A narrative that extols the deeds of a heroic figure is a,ballad,folktale,panegyric,pastoral,C,https://myschool.ng/classroom/literature-in-english/71960?exam_type=waec&exam_year=2024&type=obj&page=1
2024,2,6,objective,,,,*Ife is a woman of great virtue* *She is a woman of great vice* illustrate,antithesis,alliteration,paradox,pathos,A,https://myschool.ng/classroom/literature-in-english/71961?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,7,objective,,,,The overwhelming confidence and pride that lead to the fall of the protagonist is,catharsis,ego,harmatia,hubris,D,https://myschool.ng/classroom/literature-in-english/71970?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,8,objective,,,,The major divisions in a play are,acts,chapters,scenes,stanzas,A,https://myschool.ng/classroom/literature-in-english/71971?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,9,passage-based,,,,"Read the lines below and answer the question: *My heart aches, and a drowsy numbness pains* *My sense, as though of hemlock I have drunk* The metrical pattern is",anapestic,dactylic,iambic,trochaic,C,https://myschool.ng/classroom/literature-in-english/71972?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,10,passage-based,,,,"Read the lines below and answer the question: *My heart aches, and a drowsy numbness pains* *My sense, as though of hemlock I have drunk* The mood of the poet is that of",anger,apathy,drunkenness,sadness,D,https://myschool.ng/classroom/literature-in-english/71973?exam_type=waec&exam_year=2024&type=obj&page=2
2024,3,11,passage-based,,,,"Read the lines below and answer the question: *My heart aches, and a drowsy numbness pains* *My sense, as though of hemlock I have drunk* The mood of the poet is that of",anger,apathy,drunkenness,sadness,D,https://myschool.ng/classroom/literature-in-english/71974?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,12,objective,,,,A narrative composed in the form of a letter is,an eponymous novel,an epistolary novel,a novella,a panegyric,B,https://myschool.ng/classroom/literature-in-english/71975?exam_type=waec&exam_year=2024&type=obj&page=3
