Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2015,1,1,objective,,,,Darkness was not created during creation because,the earth was full of water,God's spirit was over the waters,darkness was already in existence,God wanted to have day night,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/46192?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,2,objective,,,,The two creation stories agree that,man and woman were created on the same day,creation was carried out by spoken word,there was existing land mass before creation,creatures created were to be fruiful and multiply,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/46195?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,3,objective,,,,Joseph was of a good behaviour because he,was loved and pamperd by his father,interacted well with his prison inmates,love all that comes to him,served dilgently in Potiphar's house,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/46205?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,4,objective,,,,**''Do you mean to kill me as you killed the Egyptian?** This statement made Moses aware of the fact that,some Israelites did not like him,God was sending him to Midian,Pharaoh was looking for his arrest,his killing of an Egyptian was known,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/46206?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,5,objective,,,,God made Pharaoh to chase and bring the Israelites back to Egypt so that He would,show that Moses was his true servant,destory first born males of Egyptians,get glory over Pharaoh and his hosts,reveal his super natural powers to the world,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/46210?exam_type=waec&exam_year=2015&type=obj&page=1
2015,2,6,objective,,,,The minority report of the twelve spies was presented by,Caleb and Joshua,Palti and Gaddiel,Joshua and Ammiel,Sethur and Gaddiel,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/46212?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,7,objective,,,,Moses asked God for a new leader for Israel so that Israel might,have a shepherd,conquer the Canaanities,own the Promised Land,become a greater nation,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/46214?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,8,objective,,,,Moses before his death served Israel as,"prophet, liberator and king","king, priest and warrior","priest, prophet and deliverer","strategist, seer and prophet",C,https://myschool.ng/classroom/christian-religious-knowledge-crk/46216?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,9,theory,,,,"Besides being a ture prophetess, Deborah could also be described as a woman of",love,glory,peace,charity,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/46217?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,10,objective,,,,"**''Give meat for the priest to roast for he will not accept boiled meat from you, hut raw''** This request was wrong because in a peace offering,",meat with blood was unacceptable,juicy meat went to the worshippers,the fat were burnt before any distribution,priests were entitled to the right thigh and breast,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/46220?exam_type=waec&exam_year=2015&type=obj&page=2
2015,3,11,objective,,,,Which of the following people destroyed Shiloh and captured the Ark? The,Ammonites,Amalekites,Palestinians,Philistines,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/46224?exam_type=waec&exam_year=2015&type=obj&page=3
