Year,Page,Question_Number,Question_Type,Instruction,Passage,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2024,1,1,objective,,,"In each of the following sentences, there is one underlined word and one gap. From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Abdul's contribution at the meeting was seen by many as _invaluable_ but the chairman said it was _________",insincere,useless,impossible,preposterous,B,https://myschool.ng/classroom/english-language/71634?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,2,objective,,,"In each of the following sentences, there is one underlined word and one gap. From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. The boy may be _culpable_ but his brother is surely ______.",innocent,ignorant,accountable,honest,A,https://myschool.ng/classroom/english-language/71635?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,3,objective,,,"In each of the following sentences, there is one underlined word and one gap. From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence Our class teacher used to be _rigid_ in his opinions but he is now ______ of other people's views",wary,critical,apprise,tolerant,D,https://myschool.ng/classroom/english-language/71636?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,4,objective,,,"In each of the following sentences, there is one underlined word and one gap. From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Some workers were quite _affable_ at the meeting but their leader was rather ______",guarded,caution,suspicious,antagonistic,D,https://myschool.ng/classroom/english-language/71637?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,5,objective,,,"In each of the following sentences, there is one underlined word and one gap. From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. The driver believed he would be _castigated_ by all the passengers but he was ______.",encouraged,exonerated,commended,released,C,https://myschool.ng/classroom/english-language/71638?exam_type=waec&exam_year=2024&type=obj&page=1
2024,2,6,objective,,,"In each of the following sentences, there is one underlined word and one gap. From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. The manager was _eulogised_ for his speech while his assistant was ________",discouraged,criticised,appraised,denounced,B,https://myschool.ng/classroom/english-language/71639?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,7,objective,,,"In each of the following sentences, there is one underlined word and one gap. From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Some people are _generous_ towards strangers, while others are _______ towards them.",indifferent,sympathetic,nasty,mean,A,https://myschool.ng/classroom/english-language/71640?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,8,objective,,,"In each of the following sentences, there is one underlined word and one gap. From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. The baby who had all along been _calm_ suddenly became _________",restless,hungry,angry,cheerful,A,https://myschool.ng/classroom/english-language/71641?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,9,objective,,,"In each of the following sentences, there is one underlined word and one gap. From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. While Ade is ______, his wife is quite _self-effacing_ .",aggressive,lousy,conceited,unfriendly,C,https://myschool.ng/classroom/english-language/71642?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,10,objective,,,"In each of the following sentences, there is one underlined word and one gap. From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Bakary is a _prudent_ husband while Musa is ______.",mean,extravagant,thoughtful,mindless,B,https://myschool.ng/classroom/english-language/71643?exam_type=waec&exam_year=2024&type=obj&page=2
2024,3,11,objective,,,"*From the words lettered A-D, choose the word thatbest completeseach of the following sentences.* The incumbent chairman won the election by a ______ of twenty votes.",surplus,concensus,space,margin,D,https://myschool.ng/classroom/english-language/71644?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,12,objective,,,"*From the words lettered A-D, choose the word thatbest completeseach of the following sentences.* Since all items on the agenda had been discussed, the meeting was _______.",dismissed,suspended,adjourned,dissolved,C,https://myschool.ng/classroom/english-language/71645?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,13,objective,,,"*From the words lettered A-D, choose the word thatbest completeseach of the following sentences.* The police explained that all the aggrieved persons should seek _______ in the court of law.",redress,litigation,address,restoration,A,https://myschool.ng/classroom/english-language/71646?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,14,objective,,,"*From the words lettered A-D, choose the word thatbest completeseach of the following sentences.* Our principal has a large _____ of cows.",gang,herd,skein,flock,B,https://myschool.ng/classroom/english-language/71647?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,15,objective,,,"*From the words lettered A-D, choose the word thatbest completeseach of the following sentences.* The first storey building in Nigeria stands as a historic _______",effigy,artefact,monument,edifice,C,https://myschool.ng/classroom/english-language/71648?exam_type=waec&exam_year=2024&type=obj&page=3
2024,4,16,objective,,,"*From the words lettered A-D, choose the word thatbest completeseach of the following sentences.* I returned from the vacation refreshed and _______.",rejuvenated,revived,reloaded,remodeled,A,https://myschool.ng/classroom/english-language/71649?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,17,objective,,,"*From the words lettered A-D, choose the word thatbest completeseach of the following sentences.* She was advised to see a _______ because she had an unusual skin disease.",cardiologist,dermatologist,gynaecologist,opthamologist,B,https://myschool.ng/classroom/english-language/71650?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,18,objective,,,"*From the words lettered A-D, choose the word thatbest completeseach of the following sentences.* The doctor's _____ was that the patient was suffering from cancer.",prediction,prescription,diagnosis,analysis,C,https://myschool.ng/classroom/english-language/71651?exam_type=waec&exam_year=2024&type=obj&page=4
