Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2018,1,1,objective,,,,A government performs the following functions except?,safeguarding life and property,maintaining law and order,providing all the needs of its citizens,providing basic welfare needs,C,https://myschool.ng/classroom/government/48339?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,2,objective,,,,A political system in which the government controls every aspect of a citizen's life is _________.,feudalism,monarchy,democracy,totalitarianism,D,https://myschool.ng/classroom/government/48352?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,3,objective,,,,A political system in which the state owns and controls the major means of production is known as?,feudalism,socialism,fascism,capitalism,B,https://myschool.ng/classroom/government/48353?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,4,objective,,,,Communist governments aim at distributing goods and services according to _____________.,gender and class,loyalty to the party,need and ability,work and residence,C,https://myschool.ng/classroom/government/48356?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,5,objective,,,,The theory of separation of power is associated with?,Jean Bodin,Baron de Montesquieu,A.V Dicey,J.J Rousseau,B,https://myschool.ng/classroom/government/48357?exam_type=waec&exam_year=2018&type=obj&page=1
2018,2,6,objective,,,,The basic purpose of setting up a state is to ___________.,maintain law and order,protect foreign interest,Promote development,provide social facilities,A,https://myschool.ng/classroom/government/48358?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,7,objective,,,,The process of taking part in the selection of leaders in a country is political ___________.,socialization,participation,interaction,culture,B,https://myschool.ng/classroom/government/48360?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,8,objective,,,,"By comparison, a state is ______________.",less permanent than a government,more permanent than a government,more changeable than a government,equally permanent with a government,B,https://myschool.ng/classroom/government/48362?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,9,objective,,,,"in modern democracy, a government is?",a contract between the rulers and the ruled,a preserve of the political party in power,monopoly of the ethnic groups in the majority,alternation of power between the minority and majority tribes,A,https://myschool.ng/classroom/government/48371?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,10,objective,,,,The rule of law can be limited by?,power,state of emergency,legitimacy,checks and balances,B,https://myschool.ng/classroom/government/48377?exam_type=waec&exam_year=2018&type=obj&page=2
2018,3,11,objective,,,,The principle of separation of power becomes meaningful when it is linked with the concept of?,the certainty of the law,checks and balances,legality of the law,judicial independence,B,https://myschool.ng/classroom/government/48383?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,12,objective,,,,Which of the following does not militate against representative government in West Africa?,electoral irregularities,coup d' etat,gagged media,universal adult suffrage,D,https://myschool.ng/classroom/government/48385?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,13,objective,,,,Those who believe in democracy and good governance are opposed to a single party system because?,encourages weak leadership,does not ensure national unity,curtails personal liberty,encourages divisiveness,C,https://myschool.ng/classroom/government/48390?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,14,objective,,,,The fundamental law of a country refers to its?,acts of parliament,conventions,constitution,judicial precedence,C,https://myschool.ng/classroom/government/48392?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,15,constitution,,,,A country's constitution could be derived from the following sources except?,judicial precedents,customary sources,statutory sources,party manifestoes,D,https://myschool.ng/classroom/government/48395?exam_type=waec&exam_year=2018&type=obj&page=3
2018,4,16,objective,,,,Planning and formulation of government policies are first initiated at?,cabinet meetings,media houses,political rallies,open forum,A,https://myschool.ng/classroom/government/48396?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,17,objective,,,,Which of the following is the primary function of a parliament?,impeachment of the president,making of laws,ratifying international treaties,acting as an electoral college,B,https://myschool.ng/classroom/government/48397?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,18,objective,,,,Judicial review is a mechanism for checking __________.,arbitrary use of power,irresponsible journalism,electoral malpractices,military adventures,A,https://myschool.ng/classroom/government/48399?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,19,objective,,,,"In a parliamentary system of government, the legislature and executive are fused to ensure .",supremacy of the ruling party in administering the state,smoothness in the administration of the state,the constitution is read in parliament at all time,the judiciary consults parliament before ruling on cases,B,https://myschool.ng/classroom/government/48402?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,20,objective,,,,A country with homogeneous societies and a small population is suitable for the establishment of ____________.,a unitary state,a nation state,a federal state,an autonomous state,A,https://myschool.ng/classroom/government/48406?exam_type=waec&exam_year=2018&type=obj&page=4
2018,5,21,objective,,,,Which of the following factors usually leads to the collapse of a confederal state?,weak central government,absent of a confederal parliament,ill equipped armed forces,absence of a ceremonial head of state,A,https://myschool.ng/classroom/government/48407?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,22,objective,,,,"In the presidential system of government, the chief executive is responsible to the _____________.",judiciary,monarch,electorate,senate,C,https://myschool.ng/classroom/government/48410?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,23,objective,,,,A federal government is a form of __________.,decentralization,centralization,confederation,revolution,A,https://myschool.ng/classroom/government/48416?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,24,objective,,,,Which of the following alternatives is a feature of a federation,unwritten constitution,unicameral legislature,supremacy of the constitution,right to secede,C,https://myschool.ng/classroom/government/48419?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,25,objective,,,,"To preserve individual liberties, the judiciary should _____________.",consist of honest and impartial judges,be appointed by the executives,be prosecuted for judgement against the executive,participate in partisan politics,A,https://myschool.ng/classroom/government/48421?exam_type=waec&exam_year=2018&type=obj&page=5
2018,6,26,objective,,,,Citizens can seek redress against injustice from the state through the?,ombudsman,head of civil service,civil service commission,titular executive,A,https://myschool.ng/classroom/government/48423?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,27,objective,,,,Which of these functions is performed by both political parties and pressure groups?,interest aggregation and articulation,source of mediation in a state,provision of specialized information,seeking to manage the affairs of the state,A,https://myschool.ng/classroom/government/48434?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,28,objective,,,,Which of these is not a source of revenue for political parties?,dues,grants,tolls,donations,C,https://myschool.ng/classroom/government/48444?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,29,objective,,,,Pressure groups seek to influence the policies of the government ______________.,to the advantage of their members,so that all citizens can benefit,to suit the manifestos of political parties,to conform with electoral act,A,https://myschool.ng/classroom/government/48447?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,30,objective,,,,Which of the following agencies helps the most in shaping public opinion?,pressure groups,mass media,college and universities,peer groups,B,https://myschool.ng/classroom/government/48454?exam_type=waec&exam_year=2018&type=obj&page=6
2018,7,31,objective,,,,Public opinion can be measured through all of the following except the?,imposition of laws without any debate,conduct of opinion,general review,holding of referendum in a state,A,https://myschool.ng/classroom/government/48462?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,32,objective,,,,An electoral system which allows party members to elect candidates for elective offices is called?,by election,primary election,general election,direct election,B,https://myschool.ng/classroom/government/48467?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,33,objective,,,,On which of the following grounds can a citizen abstain from voting?,religion,education,wealth,status,D,https://myschool.ng/classroom/government/48468?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,34,theory,,,,Indirect election is best described as?,only women electing legislators,the citizenry electing legislators,electoral college electing legislators,only adults electing legislators,C,https://myschool.ng/classroom/government/48470?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,35,objective,,,,The class that controls and supervises the activities of the executive class in the civil service is?,clerical class,manipulative class,professional class,administrative class,D,https://myschool.ng/classroom/government/48474?exam_type=waec&exam_year=2018&type=obj&page=7
2018,8,36,objective,,,,The agency responsible for investigating allegations of maladministration and punishing offending career officers in the executive is the?,federal character commission,ethics commission,judicial commission,public/civil service commission,D,https://myschool.ng/classroom/government/48477?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,37,objective,,,,The anonymity of civil servants means that they should not be?,prosecuted for any professional misconduct,disciplined because of their expertise,above the law of the land,praised or blamed publicly,D,https://myschool.ng/classroom/government/48478?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,38,objective,,,,The following were limitations imposed on traditional rulers under colonial rule except?,were not permitted to raise armed forces,had no power to impose tax,had no power to install or dispose a chief,were no longer spiritual heads of the people,D,https://myschool.ng/classroom/government/48481?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,39,objective,,,,A system of administration which allowed traditional rulers to rule their people under the supervision of the British officials in West Africa is?,divide and rule,colonization,indirect rule,assimilation,C,https://myschool.ng/classroom/government/48483?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,40,objective,,,,Local government is established in order to _________,bring government nearer to the people,build churches and mosque,curb corruption in the society,promote political apathy,A,https://myschool.ng/classroom/government/48490?exam_type=waec&exam_year=2018&type=obj&page=8
2018,9,41,objective,,,,One reason for the adoption of Indirect Rule in British West Africa was?,availability of British officials,to ensure justice,inadequate finance,to assimilate the indigenes,C,https://myschool.ng/classroom/government/48493?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,42,objective,,,,Which of the following policies replaced Assimilation?,indigenat,loi cadre,association,indirect rule,C,https://myschool.ng/classroom/government/48497?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,43,objective,,,,Which of the following is a reason for the failure of the assimilation policy in French West Africa?,the change in the name of their culture,the refusal of Africans to be culturally colonized,the democratic policy of the french,bribery of the opinion leaders by the french,B,https://myschool.ng/classroom/government/48498?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,44,objective,,,,Nationalism prior to the second world war was led by?,educated elites and chiefs,chiefs and elders,aggrieved cocoa farmers,African merchants,A,https://myschool.ng/classroom/government/48501?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,45,objective,,,,Which of the following is not a factor leading to military intervention in West African states?,excessive control of public enterprise,falsification of election results,mismanagement of the country's economy,corruption in high places,A,https://myschool.ng/classroom/government/48503?exam_type=waec&exam_year=2018&type=obj&page=9
2018,10,46,objective,,,,One of the problems of military administration in West Africa is that soldiers,are representatives of the people,lack discipline,are not well organized,are not trained for governance,D,https://myschool.ng/classroom/government/48509?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,47,objective,,,,"In order to promote democracy and good governance, the commonwealth of Nations",prosecutes leaders who commit atrocities at the international criminal court,organises seminars and training programs on technical assistance to members,sanction members who do not pay their dues,sponsors election observer teams to monitor the conduct of elections.,D,https://myschool.ng/classroom/government/48517?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,48,objective,,,,The foreign policy of a country could be influenced by?,personality of political leader,number of schools in a country,number of ministers in a country,national,A,https://myschool.ng/classroom/government/48518?exam_type=waec&exam_year=2018&type=obj&page=10
