Year,Page,Question_Number,Question_Type,Instruction,Passage,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2019,1,1,objective,,,"From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Though my mother was _convinced_ about the success of the business, her manager remained___________",Sceptical,serious,confused,concerned,A,https://myschool.ng/classroom/english-language/59065?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,2,objective,,,"From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Judgement should always be in favour of the _innocent_ and not the_________",guilty,accused,weak,elderly,A,https://myschool.ng/classroom/english-language/59069?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,3,objective,,,"From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Layi is quite _reliable_ but his sister is_________",unswerving,untrustworthy,deceptive,pretentious,B,https://myschool.ng/classroom/english-language/59072?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,4,objective,,,"From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. The _gullible_ and not the_______usually fall prey to tricksters.",unfriendly,carefree,brave,discerning,D,https://myschool.ng/classroom/english-language/59073?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,5,objective,,,"From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Tom's _humility_ contrasts with his brother's__________",haughtiness,stubbornness,gentleness,quietness,A,https://myschool.ng/classroom/english-language/59076?exam_type=waec&exam_year=2019&type=obj&page=1
2019,2,6,objective,,,"From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. The life of man appears _long_ but, in reality, it is_________",brief,quick,shortened,stunted,A,https://myschool.ng/classroom/english-language/59078?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,7,objective,,,"From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. In the interest of peace, it is better to _dialogue_ than to be_________",controversial,rational,confrontational,forceful,C,https://myschool.ng/classroom/english-language/59080?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,8,objective,,,"From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. All the wealth _amassed_ by a greedy father is often_________by undisciplined children.",destroyed,scattered,squandered,ruined,C,https://myschool.ng/classroom/english-language/59082?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,9,objective,,,"From the list of words lettered A to D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Many people find cod liver oil _disgusting_ but soldiers find it_________",refreshing,medicinal,pleasant,bitter,C,https://myschool.ng/classroom/english-language/59084?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,10,objective,,,"From the list of words leftered A to D, choose the one tnat is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. The arrival of the riot police at our campus_______the tension rather than _mitigate_ it.",lengthened,heightened,prolonged,created,B,https://myschool.ng/classroom/english-language/59085?exam_type=waec&exam_year=2019&type=obj&page=2
