Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2016,1,1,objective,,,,Government refers to all the following except,an academic field of study,an organized group of people that formulate policies,a process of making and enforcing laws,an institution made up of people with common interest,D,https://myschool.ng/classroom/government/45218?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,2,objective,,,,All the following are experienced by a community without government except,insecurity,planned development,lawlessness,political anarchy,B,https://myschool.ng/classroom/government/45219?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,3,objective,,,,As an academic field the study of government does not include,Political economy,Comparative politics,Public administration,Ecological interaction,D,https://myschool.ng/classroom/government/45220?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,4,objective,,,,Which of the following systems of government is authoritarian in nature?,Capitalist system,Fascism,Republicanism,Constitutional monarchy,B,https://myschool.ng/classroom/government/45222?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,5,objective,,,,The system that allows the opposition to participate in governance is,dictatorial,collectivism,aristocratic,democratic,D,https://myschool.ng/classroom/government/45224?exam_type=waec&exam_year=2016&type=obj&page=1
2016,2,6,objective,,,,Which of the following hinders the establishment of a representative government in a state?,Mass illiteracy,Existence of pressure groups,Vibrant political culture,Independent electoral commission,A,https://myschool.ng/classroom/government/45226?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,7,objective,,,,Which of the following is not an attribute of a state?,Definite territory,Population,Government,Common language,D,https://myschool.ng/classroom/government/45227?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,8,objective,,,,In a democracy political sovereignty is vested in the,judges,people,legislature,executive,B,https://myschool.ng/classroom/government/45229?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,9,objective,,,,"According to Charles Montesquieu, the theory of separation of powers is to prevent",influence,authority,power,arbitrariness,D,https://myschool.ng/classroom/government/45230?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,10,objective,,,,Decentralisation is a common feature of,totalitarian system of government,federal system of government,unitary system of government,fascist system,B,https://myschool.ng/classroom/government/45232?exam_type=waec&exam_year=2016&type=obj&page=2
2016,3,11,objective,,,,Bye-laws are made through,delegated legislation,executive instrument,presidential order,emergency power,A,https://myschool.ng/classroom/government/45234?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,12,objective,,,,Power is transformed into legal authority through,force,prayers,influence,legitimacy,D,https://myschool.ng/classroom/government/45235?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,13,objective,,,,Conventions are mostly used by states that have,a large number of illiterates,a lot of people not interested in political activities,unwritten constitution,rigid constitution,C,https://myschool.ng/classroom/government/45237?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,14,constitution,,,,One advantage of a flexible constitution is that it,can lead to dictatorship,can easily be manipulated,is best suited for a federation,can be amended by a simple majority,D,https://myschool.ng/classroom/government/45260?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,15,constitution,,,,A constitution that requires complicated procedure for its amendment is,rigid,flexible,written,unwritten,A,https://myschool.ng/classroom/government/45262?exam_type=waec&exam_year=2016&type=obj&page=3
2016,4,16,objective,,,,The official who enforces discipline among members of his party in parliament is the,majority leader,minority leader,clerk of the House,chief whip,D,https://myschool.ng/classroom/government/45263?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,17,objective,,,,"When an action of the executive is declared ultra-vires, it is a control exercised by the",public,minister,judiciary,parliament,C,https://myschool.ng/classroom/government/45265?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,18,constitution,,,,"In a presidential system of government, the president can constitutionally be removed from the office through",persuasion,impeachment,coup d' etat,vote -of-no- confidence,B,https://myschool.ng/classroom/government/45269?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,19,objective,,,,One of the features of an absolute monarch is that the ruler,is elected by the electorate,has a definite tenure of office,is elected by the representatives of the people,wields the supreme power in a state,D,https://myschool.ng/classroom/government/45270?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,20,objective,,,,A notable feature of cabinet system of government is,collective responsibility,the separation of powers,violation of human rights,impeachment of the executive,A,https://myschool.ng/classroom/government/45272?exam_type=waec&exam_year=2016&type=obj&page=4
2016,5,21,objective,,,,All the following are the conditions for the adoption of federalism except,size,defence,population,homogeneity,D,https://myschool.ng/classroom/government/45273?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,22,objective,,,,"The privileged citizens enjoyed in a country irrespective of sex, tribe or creed is",right,constitution,manifesto,franchise,A,https://myschool.ng/classroom/government/45275?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,23,objective,,,,The judicial order requiring a detained person to be brought before a judge is the writ of,Habeas corpus,Mandamus,Prohibition,Certiorari,A,https://myschool.ng/classroom/government/45276?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,24,objective,,,,A political party can contest and win a widely accepted election if it has,the ability to rig election,intolerant attitude to oppositions,a broad-based membership,the support of very wealthy politicians,C,https://myschool.ng/classroom/government/45279?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,25,objective,,,,Political parties aim at all the following except,contesting elections,forming a government,organizing general elections,educating the electorate politically,C,https://myschool.ng/classroom/government/45283?exam_type=waec&exam_year=2016&type=obj&page=5
2016,6,26,objective,,,,Which of the following is not a means through which political parties reach the populace?,Posters,newspapers,schools,the internet,C,https://myschool.ng/classroom/government/45286?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,27,objective,,,,An association whose ultimate aim is to influence government policies is known as,civil service,pressure group,political party,public corporation,B,https://myschool.ng/classroom/government/45288?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,28,objective,,,,Membership of pressure groups is usually limited because they,pursue specific and narrow objectives,promote other people's interests,do not have dynamic leadership,promote the interest of the government,A,https://myschool.ng/classroom/government/45291?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,29,objective,,,,Elections are conducted to,provide permanent employment for the people,make the people choose their leaders,known the number of people in a country,know the social amenities in the community,B,https://myschool.ng/classroom/government/45296?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,30,objective,,,,Suffrage is also known as,franchise,plebiscite,public opinion,electoral college,A,https://myschool.ng/classroom/government/45299?exam_type=waec&exam_year=2016&type=obj&page=6
2016,7,31,objective,,,,For an election to be fair and free Electoral Commission must be,ready to manipulate results,ready to reject criticisms,headed by a minister in the executive,independent of other institutions of government,D,https://myschool.ng/classroom/government/45301?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,32,objective,,,,Which of the following categories of people can vote in periodic elections?,Minors,Aliens,Lunatics,Citizens,D,https://myschool.ng/classroom/government/45303?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,33,objective,,,,The anonymity of a civil servant means that he,is above the law of the land,should take part in partisan politics,receives neither praise nor blame publicly,should be prosecuted for professional misconduct,C,https://myschool.ng/classroom/government/45304?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,34,objective,,,,Which of the following functions is performed by the civil service?,Enactment of laws,Settlement of disputes,Appointment of ministers,Implementation of policies,D,https://myschool.ng/classroom/government/45306?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,35,objective,,,,Public corporations are established to,make maximum profits,help businessmen,provide employment for defeated politicians,provide utility services to the public at minimal cost,D,https://myschool.ng/classroom/government/45310?exam_type=waec&exam_year=2016&type=obj&page=7
2016,8,36,objective,,,,A minister controls public corporation by,provide the corporation's finances,auditing the accounts of the corporation personally,criticizing the corporation through the mass media,ensuring the effective administration of the corporation,D,https://myschool.ng/classroom/government/45311?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,37,objective,,,,An institution of government that makes bye-laws is the,judiciary,executive,legislature,local authorities,D,https://myschool.ng/classroom/government/45312?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,38,objective,,,,Local governments are created to,give more powers to the traditional rulers,bring the government closer to the people,make the people obey more of the local laws,take over the functions of the central government,B,https://myschool.ng/classroom/government/45313?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,39,objective,,,,Some pre-colonial West African governments were democratic because of the existence of,powerful traditional rulers,age grades,religious institutions,checks and balances,D,https://myschool.ng/classroom/government/45314?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,40,objective,,,,One of the measures introduced by indirect rule was,collection and keeping of taxes by the chiefs only,not recognizing traditional institutions,fixing and collection of taxes by British officials themselves,exclusion of the educated elite from the colonial administration,D,https://myschool.ng/classroom/government/45315?exam_type=waec&exam_year=2016&type=obj&page=8
2016,9,41,objective,,,,Which of the following policies was replaced by the French Policy of Association?,Apartheid,Assimilation,Indirect rule,Frenchification,,https://myschool.ng/classroom/government/45316?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,42,objective,,,,The appointment and deposition of chiefs by their people was a demand of the,Pan African Movements,National Congress of British West Africa,West African Students' Union,West African Youth League,A,https://myschool.ng/classroom/government/45317?exam_type=waec&exam_year=2016&type=obj&page=9
