Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2023,1,1,objective,,,,"On the fifth day, the manifestation of the power of God's word was evident in the creation of the",earth,moon and stars,fishes and birds,vegetation,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/69322?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,2,objective,,,,Which of the following was God's instruction to Adam after creation? To eat,of any tree except that of the knowledge of good and evil.,freely of every tree except the ones with apples.,from the tree in the middle of the garden.,any animal and plant in Eden.,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/69324?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,3,objective,,,,In which of the following ways did God evaluate His work after creation?,Very perfect,Satisfactory,Excellent,Very good,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/69325?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,4,objective,,,,What was the rationale behind Reuben placing Joseph into a dry well? To,instill discipline in him,send the lad back home,prevent him from escaping,sell him out later.,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/69344?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,5,objective,,,,"According to Pharaoh's dream, what did the seven gaunt and thin cows that came out of the Nile River do? They",terrified him in his dream,fed on the reed grass,ate all the seven ears of grains,ate up the seven sleek and fat cows,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/69345?exam_type=waec&exam_year=2023&type=obj&page=1
2023,2,6,objective,,,,Which of the following was not a sign to convince the Israelites that Moses was sent by God?,Moses' rod becoming a serpent,Moses hand becoming leprous,River Nile becoming a pool of blood,Flowers growing from Moses' rod,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/69346?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,7,objective,,,,The dominant trait exhibited by the lsraelites following the ill-report of the spies about Canaan was,boldness,humility,despair,unfaithfulness,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/69360?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,8,objective,,,,Moses gave a portion of his authority to Joshua when he was commissioned before the lsraelites so that Joshua would,be known by the Israelites,be obeyed by the Israelites,receive power from God,lead the Moabites to Egypt,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/69362?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,9,objective,,,,Which attribute of Joshua and Caleb distinguished them from the other spies?,The confidence they had in themselves,Their knowledge of the land that they spied,Their preparedness to face any challenge,The absolute trust they had in God,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/69363?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,10,objective,,,,Up! For this is the day in which the Lord has given Sisera into your hands. Does not the Lord go out before you? This statement was made by,Barak,Deborah,Jabin,Jael,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/69365?exam_type=waec&exam_year=2023&type=obj&page=2
