Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2021,1,1,objective,,,,Something a character says on stage that is meant for the audience alone is,an epilogue,a mine,a soliloguy,an aside,D,https://myschool.ng/classroom/literature-in-english/61643?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,2,objective,,,,A pause within a line of poetry is,an alliteration,a caesura,a metre,an assonance,B,https://myschool.ng/classroom/literature-in-english/61644?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,3,objective,,,,"A recurring idea, image, or a group of images that unifies a work of literature is",motif,allusion,legend,anecdote,A,https://myschool.ng/classroom/literature-in-english/61645?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,4,objective,,,,When you are old and grey and full of sleep. The rhythmic pattern of the above line is,anapestic,dactylic,trochaic,iambic,D,https://myschool.ng/classroom/literature-in-english/61646?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,5,objective,,,,An inscription on a tombstone is an,epitaph,epistle,epigram,ode,A,https://myschool.ng/classroom/literature-in-english/61647?exam_type=waec&exam_year=2021&type=obj&page=1
2021,2,6,objective,,,,"A three-line stanza, rhymed ABA, BCB, CDC is a",couplet,haiku,terza rima,heroic couplet,C,https://myschool.ng/classroom/literature-in-english/61648?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,7,objective,,,,The chorus normally features prominently in,poetry,the epic,the novel,drama,D,https://myschool.ng/classroom/literature-in-english/61653?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,8,theory,,,,A story which explains a natural phenomenon or justifies the beliefs of a society is A. myth B. legend C. motif D. fable,myth,legend,motif,fable,A,https://myschool.ng/classroom/literature-in-english/61654?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,9,objective,,,,The dominant literary device is,the epithet,the rhetorical question,verbal irony,paradox,B,https://myschool.ng/classroom/literature-in-english/61656?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,10,objective,,,,does it stink like rotten meat? makes use of the sense of,taste,touch,sight,smell,D,https://myschool.ng/classroom/literature-in-english/61657?exam_type=waec&exam_year=2021&type=obj&page=2
2021,3,11,objective,,,,The mood of the poem is one of,joy,doubt,anger,certainty,B,https://myschool.ng/classroom/literature-in-english/61658?exam_type=waec&exam_year=2021&type=obj&page=3
2021,3,12,objective,,,,a short play performed in the pause between the act of a longer play is,denouement,interlude,prologue,epilogue,B,https://myschool.ng/classroom/literature-in-english/61659?exam_type=waec&exam_year=2021&type=obj&page=3
2021,3,13,objective,,,,The most intense part of a conflict is the,resolution,climax,denouement,deus ex machina,B,https://myschool.ng/classroom/literature-in-english/61660?exam_type=waec&exam_year=2021&type=obj&page=3
2021,3,14,objective,,,,I feel a million times better than I felt yesterday is,an apostrophe,a euphemism,an irony,a hyperbole,D,https://myschool.ng/classroom/literature-in-english/61661?exam_type=waec&exam_year=2021&type=obj&page=3
2021,3,15,objective,,,,ldentify the odd item:,third-person narrative,literary appreciation,first-person narrative,epistolary technique,B,https://myschool.ng/classroom/literature-in-english/61663?exam_type=waec&exam_year=2021&type=obj&page=3
2021,4,16,objective,,,,A dramatist is someone who....plays,writes,dírects,commissions,promotes,A,https://myschool.ng/classroom/literature-in-english/61665?exam_type=waec&exam_year=2021&type=obj&page=4
2021,4,17,objective,,,,Nando's family lives within the lower income bracket illustrates,sarcasm,allusion,climax,euphemism,D,https://myschool.ng/classroom/literature-in-english/61670?exam_type=waec&exam_year=2021&type=obj&page=4
