Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2016,1,1,objective,,,,"where a number of insurance companies are liable under one policy, the principle applicable is ?",subrogation,contribution,indemnity,utmost good faith,B,https://myschool.ng/classroom/commerce/48813?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,2,objective,,,,Buying and selling stocks in the stock exchange in anticipation of changes in the share price is?,hedging,projection,forecasting,speculation,D,https://myschool.ng/classroom/commerce/48819?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,3,objective,,,,Another name for a dishonoured cheque is?,an order cheque,a bounced cheque,a bearer cheque,an open cheque,B,https://myschool.ng/classroom/commerce/48821?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,4,practical,,,,which of the folloing is an example of life insurance,third party policy,comprehensive policy,fidelity guaranteed policy,endowment policy,D,https://myschool.ng/classroom/commerce/48826?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,5,objective,,,,The main concern of commerce is?,create wealth,buy and sell goods and services,exchange and distribution of goods and services,satisfy all human wants,B,https://myschool.ng/classroom/commerce/48828?exam_type=waec&exam_year=2016&type=obj&page=1
2016,2,6,objective,,,,The organized efforts of consumers to protect themselves against the unfair practices of businessmen is?,strike,consumerism,picketing,demonstration,B,https://myschool.ng/classroom/commerce/48832?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,7,objective,,,,which of the following legislations aims primarily at protection of consumers,law of contract,trade description act,company's act,partnership act,B,https://myschool.ng/classroom/commerce/48837?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,8,objective,,,,"in a law of contract, a counter offer operates as?",an acceptance,a consensus,a rejection,a contract,C,https://myschool.ng/classroom/commerce/48840?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,9,objective,,,,An economy policy which encourages governement ownership of business is called?,privatization,nationalization,indigenization,commercialization,B,https://myschool.ng/classroom/commerce/48843?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,10,objective,,,,lack of permanent record for the message reciever is a disadvantage of?,television,direct mail,cataloque,magazine,A,https://myschool.ng/classroom/commerce/48846?exam_type=waec&exam_year=2016&type=obj&page=2
2016,3,11,objective,,,,"which of the following occupations are classified under the extractive industry (i) cattle rearing, lumbering and farming (ii) mining, quarrying and hunting (iii) ship building, road construction and iron bending (iv) singing, dancing and tailoring",i and iii only,"i, ii and iv",i and ii,"ii, iii and iv",C,https://myschool.ng/classroom/commerce/48848?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,12,objective,,,,which of the following allows a drawer of a document to correct any error,C.I.F,I.O.U,C.W.O,E.O.E,D,https://myschool.ng/classroom/commerce/48851?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,13,objective,,,,The value of current assets is?,"N35,000","N32,000","N25,000","N10,000",A,https://myschool.ng/classroom/commerce/48859?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,14,objective,,,,what is the value of working capital,"N47,000","N35,000","25,000","10,000",C,https://myschool.ng/classroom/commerce/48862?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,15,objective,,,,the value of fixed assets,"N72,000","N47,000","N35,000","N25,000",B,https://myschool.ng/classroom/commerce/48865?exam_type=waec&exam_year=2016&type=obj&page=3
