Year,Page,Question_Number,Question_Type,Instruction,Passage,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2016,1,1,objective,,,"*In each of the following sentence, there is one underlined word and one gap. from the list of words lettered A to D, choose the one that is most nearly opposite in meaning in the underlined word and that will at the same time, correctly fill the gap in the sentence.* The road which used to be _wide_ now appears.......because of the new drainage.",Widing,Limited,Narrow,Reduced,C,https://myschool.ng/classroom/english-language/45221?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,2,objective,,,"*In each of the following sentence, there is one underlined word and one gap. from the list of words lettered A to D, choose the one that is most nearly opposite in meaning in the underlined word and that will at the same time, correctly fill the gap in the sentence.* In the past, anybody who _angered_ the gods was made to.....them.",Appease,Reward,Settle,Beg,A,https://myschool.ng/classroom/english-language/45223?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,3,objective,,,"*In each of the following sentence, there is one underlined word and one gap. from the list of words lettered A to D, choose the one that is most nearly opposite in meaning in the underlined word and that will at the same time, correctly fill the gap in the sentence.* Rather than being _sensitive_ to the plight of the workers, the manager remained......",Disdainful,Curious,Negligent,Indifferent,D,https://myschool.ng/classroom/english-language/45225?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,4,objective,,,"*In each of the following sentence, there is one underlined word and one gap. from the list of words lettered A to D, choose the one that is most nearly opposite in meaning in the underlined word and that will at the same time, correctly fill the gap in the sentence.* A _keen_ student makes progress but the....one hardly does well.",Inactive,Lowly,Nervous,Reluctant,D,https://myschool.ng/classroom/english-language/45228?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,5,objective,,,"*In each of the following sentence, there is one underlined word and one gap. from the list of words lettered A to D, choose the one that is most nearly opposite in meaning in the underlined word and that will at the same time, correctly fill the gap in the sentence.* Unlike you, i thought the message was quite....not _ambiguous_ .",Reasonable,Clear,Apt,Persuasive,B,https://myschool.ng/classroom/english-language/45231?exam_type=waec&exam_year=2016&type=obj&page=1
2016,2,6,objective,,,"*In each of the following sentence, there is one underlined word and one gap. from the list of words lettered A to D, choose the one that is most nearly opposite in meaning in the underlined word and that will at the same time, correctly fill the gap in the sentence.* Good qualities _alleviate_ poverty whereas bad ones...it.",Prolong,Activate,aggravate,Provoke,C,https://myschool.ng/classroom/english-language/45233?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,7,objective,,,"*In each of the following sentence, there is one underlined word and one gap. from the list of words lettered A to D, choose the one that is most nearly opposite in meaning in the underlined word and that will at the same time, correctly fill the gap in the sentence.* One expects books kept in the library to be well....not _jumbled_",Numbered,Documented,Arranged,Listed,C,https://myschool.ng/classroom/english-language/45236?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,8,objective,,,"*In each of the following sentence, there is one underlined word and one gap. from the list of words lettered A to D, choose the one that is most nearly opposite in meaning in the underlined word and that will at the same time, correctly fill the gap in the sentence.* Despite everything, i chose to _keep_ rather than....the secret.",Rennounce,Show,Reveal,Display,C,https://myschool.ng/classroom/english-language/45238?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,9,objective,,,"*In each of the following sentence, there is one underlined word and one gap. from the list of words lettered A to D, choose the one that is most nearly opposite in meaning in the underlined word and that will at the same time, correctly fill the gap in the sentence.* Though the teachers....the idea, the principal was _averse_ to it.",welcomed,recognised,admitted,greeted,A,https://myschool.ng/classroom/english-language/45239?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,10,objective,,,"*In each of the following sentence, there is one underlined word and one gap. from the list of words lettered A to D, choose the one that is most nearly opposite in meaning in the underlined word and that will at the same time, correctly fill the gap in the sentence.* It is only natural to feel _nervous_ when you first take the stage but you soon become.....",balanced,peaceful,normal,composed,D,https://myschool.ng/classroom/english-language/45240?exam_type=waec&exam_year=2016&type=obj&page=2
2016,3,11,objective,,,"*From the word lettered A to D, choose the word that best completes each of the following sentences.* Don't tell me you are....enough to believe his lies.",credible,childish,modest,naive,D,https://myschool.ng/classroom/english-language/45241?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,12,objective,,,"*From the word lettered A to D, choose the word that best completes each of the following sentences.* The members of parliaments tabled an.....to the constitution.",adjustment,amendment,enactment,annulment,B,https://myschool.ng/classroom/english-language/45242?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,13,objective,,,"**From the word lettered A to D, choose the word that best completes each of the following sentences** . His.....to violent video games is something to worry about.",devotion,attatchment,commitment,addiction,D,https://myschool.ng/classroom/english-language/45243?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,14,objective,,,"*From the word lettered A to D, choose the word that best completes each of the following sentences.* Most people think that....punishment should be abolished, even in murder cases.",fatal,capital,severe,corporal,B,https://myschool.ng/classroom/english-language/45244?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,15,objective,,,"**From the word lettered A to D, choose the word that best completes each of the following sentences** . The president made a....appeal for calm in the face of the crisis.",passionnate,zealous,tactful,sensitive,A,https://myschool.ng/classroom/english-language/45245?exam_type=waec&exam_year=2016&type=obj&page=3
2016,4,16,objective,,,"*From the word lettered A to D, choose the word that best completes each of the following sentences.* What i gave you was supposed to.....your monthly earnings",expand,enlarge,complete,augment,D,https://myschool.ng/classroom/english-language/45246?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,17,objective,,,"*From the word lettered A to D, choose the word that best completes each of the following sentences.* The boy's parents.....a sigh of relief when he was found.",raised,uttered,breathed,heaved,D,https://myschool.ng/classroom/english-language/45247?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,18,objective,,,"**From the word lettered A to D, choose the word that best completes each of the following sentences** . We....the meeting indefinitely because we could not form a quorum.",postponed,reconvened,adjourned,ended,A,https://myschool.ng/classroom/english-language/45248?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,19,objective,,,"**From the word lettered A to D, choose the word that best completes each of the following sentences** . The police man tried to.....money from the motorist.",exert,extort,exact,extract,B,https://myschool.ng/classroom/english-language/45249?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,20,objective,,,"*From the word lettered A to D, choose the word that best completes each of the following sentences.* They were given an....either pay the rent or vacate the premises.",ultimatum,injuction,admonition,undertaking,A,https://myschool.ng/classroom/english-language/45250?exam_type=waec&exam_year=2016&type=obj&page=4
2016,5,21,objective,,,"*After each of the following sentences, a list of possible interpretations are given. choose the interpretation that is most appropriate* My school carried the day in the debate. This means that my school",missed the debate,won the debate,choose the date for debate,had very good points,B,https://myschool.ng/classroom/english-language/45251?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,22,objective,,,"*After each of the following sentences, a list of possible interpretations are given. choose the interpretation that is most appropriate* We covered much ground at the conference yesterday. This means that we",discussed some issues,treated many issues,used a lot of space,argued about many things,B,https://myschool.ng/classroom/english-language/45252?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,23,objective,,,"*Interpretations are given. choose the interpretation that is most appropriate* We saw Ada, of all people, dancing. This means",we saw Ada for the first time,we saw Ada dancing with everyone,Ada didn't want us to see her dancing,we were surprised to see Ada dancing,D,https://myschool.ng/classroom/english-language/45253?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,24,objective,,,interpretations are given. choose the interpretation that is most appropriate There were clear indications that Buba backed the wrong horse. This means that Buba,supported the wrong person,argued blindly,abandoned this position,bet on a loosing horse,A,https://myschool.ng/classroom/english-language/45254?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,25,objective,,,*Interpretations are given. choose the interpretation that is most appropriate*,were being honest,did not know the truth,did not know enough about the matter,knew more than they were prepared to say,D,https://myschool.ng/classroom/english-language/45255?exam_type=waec&exam_year=2016&type=obj&page=5
2016,6,26,objective,,,*interpretations are given. choose the interpretation that is most appropriate* My mother wanted to know what was eating him. This means that she wanted to find out,what has made him become lean,what he was spending his money,why he was upset,why he ignored him,C,https://myschool.ng/classroom/english-language/45256?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,27,objective,,,interpretations are given. choose the interpretation that is most appropriate People who tells lies makes me see red. This means that such people make me,dizzy,angry,sad,anxious,B,https://myschool.ng/classroom/english-language/45257?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,28,objective,,,"*interpretations are given. choose the interpretation that is most appropriate* After several attempts to claim the child, he threw in the towel. This means that he",succeeded finally,accepted defeat,gained confidence,became indifferent,B,https://myschool.ng/classroom/english-language/45258?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,29,objective,,,interpretations are given. choose the interpretation that is most appropriate This is their third defeat in a row. This means that they have,been defeated three times,defeated three teams consectively,been defeated by three teams,suffered three consecutive defeats,D,https://myschool.ng/classroom/english-language/45259?exam_type=waec&exam_year=2016&type=obj&page=6
