Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2023,1,1,objective,,,,The moon looked on the massacre in horror ! illustrates,pathetic fallacy,prologue,epilogue,transferred epithet,A,https://myschool.ng/classroom/literature-in-english/68701?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,2,objective,,,,A dead metaphor is,overused and ineffective,implied and not funny,implied and underused,overused and funny,A,https://myschool.ng/classroom/literature-in-english/68703?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,3,objective,,,,The third stanza of the Shakespearean sonnet is,couplet,sextet,octave,quatrain,D,https://myschool.ng/classroom/literature-in-english/68704?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,4,objective,,,,*child of scorn* illustrates,euphemism,metaphor,,metonymy,B,https://myschool.ng/classroom/literature-in-english/68706?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,5,objective,,,,The metrical structure is predominantly,trochaic,dactyllic,iambic,spondaic,C,https://myschool.ng/classroom/literature-in-english/68707?exam_type=waec&exam_year=2023&type=obj&page=1
2023,2,6,passage-based,,,,"Reading the poem, one notices that the poet is being",hyperbolic,euphemistic,ironic,sarcastic,C,https://myschool.ng/classroom/literature-in-english/68709?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,7,objective,,,,"In the last stanza, the persona is",fantasizing,angry,malnourished,pretending,A,https://myschool.ng/classroom/literature-in-english/68710?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,8,objective,,,,The two stanzas are built on,alternate rhyme,identical rhymes,couplets,run-on lines,A,https://myschool.ng/classroom/literature-in-english/68712?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,9,objective,,,,The prevailing atmosphere is,pleasant,drab,tense,serene,C,https://myschool.ng/classroom/literature-in-english/68714?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,10,objective,,,,"*join in with it, lead it on, but, finally,* *veer* *it from* illustrates",allusion,simile,parallelism,personification,C,https://myschool.ng/classroom/literature-in-english/68716?exam_type=waec&exam_year=2023&type=obj&page=2
2023,3,11,objective,,,,The attitude of the writer towards Sasu is one of,surprise,anger,approval,disdain,C,https://myschool.ng/classroom/literature-in-english/68717?exam_type=waec&exam_year=2023&type=obj&page=3
