Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2019,1,1,advanced-algebra,,,,Solve: 8\(^{x - 2}\) = 4\(^{3x}\),-2,-1,1,2,B,https://myschool.ng/classroom/further-mathematics/59651?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,2,advanced-algebra,,,,Solve; \(\frac{P}{2} + \frac{k}{3}\) = 5 and 2p = k = 6 simultaneously,"p = -6, k = -6","p = -6, k = 6","p = 6, k = 6","p = 6, k = -6",C,https://myschool.ng/classroom/further-mathematics/59653?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,3,advanced-algebra,,,,Evaluate tan 75\(^o\); leaving the answer in surd form (radicals),\(\sqrt{3 + 2}\),\(\sqrt{3 + 1}\),\(\sqrt{3 - 1}\),\(\sqrt{3 - 2}\),D,https://myschool.ng/classroom/further-mathematics/59654?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,4,advanced-algebra,,,,Rationalize; \(\frac{1}{\sqrt{2 + 1}}\),\(\sqrt{2}\) - 1,1 - \(\sqrt{2}\),\(\frac{\sqrt{2} - 1}{2}\),\(\frac{1 - \sqrt{2}}{2}\),A,https://myschool.ng/classroom/further-mathematics/59655?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,5,advanced-algebra,,,,"If \(^nC_2\) = 15, find the value of n",8,7,6,5,C,https://myschool.ng/classroom/further-mathematics/59657?exam_type=waec&exam_year=2019&type=obj&page=1
2019,2,6,advanced-algebra,,,,"An operation (*) is defined on the set T = {-1, 0, ...., 5} by x * y = x + y - xy. Which of the following operation(s) will give an image that is an element of T? I. 2(*)5 II. 3(*)2 III. 3(*)4",I only,II only,I and III only,II and III only,B,https://myschool.ng/classroom/further-mathematics/59659?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,7,advanced-algebra,,,,Given that g ; x \(\to\) 3x and f ; x \(\to\) cos x. Find the value of g\(^o\) f(20\(^o\)),0.50,0.94,2.60,2.82,D,https://myschool.ng/classroom/further-mathematics/59660?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,8,vectors-matrices,,,,"A linear transformation is defined by T: (x, y) \(\to\) (-x + y, -4y). Find the image, Q`, of Q(-3, 2) under T","Q`(5, -8)","Q`(-8, 5)","Q`(5, -3)","Q`(-5, -8)",A,https://myschool.ng/classroom/further-mathematics/59663?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,9,advanced-algebra,,,,"If g : r \(\to\) 5 - 2r, r is a real number, find the image of -3",13,11,-1,-9,B,https://myschool.ng/classroom/further-mathematics/59664?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,10,advanced-algebra,,,,"Consider the following statements: p: Birds fly q: The sky is blue r: The grass is green What is the symbolic representation of ""If the grass is green and the sky is not blue, then the birds do not fly""?",A. (r ^ p) \(\to\) q,(r ^ q) \(\to\) p,(r ^~ q) \(\to\) ~p,(r ~ ^ p) \(\to\) q,C,https://myschool.ng/classroom/further-mathematics/59666?exam_type=waec&exam_year=2019&type=obj&page=2
2019,3,11,advanced-algebra,,,,Given that \(\frac{1}{x^2 - 4} = \frac{p}{(x + 2)} + \frac{Q}{(x - 2})\) x \(\neq \pm 2\) Find the value of (P + Q),\(\frac{3}{2}\),1,\(\frac{1}{2}\),0,D,https://myschool.ng/classroom/further-mathematics/59668?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,12,sequences-series,,,,"Find the sum of the first 20 terms of the sequence -7-3, 1, ......",620,660,690,1240,A,https://myschool.ng/classroom/further-mathematics/59669?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,13,advanced-algebra,,,,"Find the value of x for which 6\(\sqrt{4x^2 + 1}\) = 13x, where x > 0",\(\frac{6}{5}\),\(\frac{25}{24}\),\(\frac{24}{25}\),\(\frac{5}{6}\),A,https://myschool.ng/classroom/further-mathematics/59670?exam_type=waec&exam_year=2019&type=obj&page=3
