Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2015,1,1,objective,,,,Which of the following statements about mass and weight are correct? i. Weight is the force of gravity on a body. ii. The mass of a body is the quantity of matter in the body. iii. The weight of a body is greatest at the equator. iv. The mass of a body is greatest at the poles,i and ii only,i and iii only,ii and iv only,iii and iv only,A,https://myschool.ng/classroom/physics/45415?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,2,objective,,,,Materials that can be stretched and still return to their original forms when the stresses are removed are said be,elastic,elastomer,plastic,thermoplastic,A,https://myschool.ng/classroom/physics/45416?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,3,calculation,,,,Which of the following units is derived?,kg,m,K,N,D,https://myschool.ng/classroom/physics/45417?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,4,calculation,,,,"The barometric reading at a place is 73.5m Hg. Calculate the pressure at a point 30m below the surface of water contained in a reservoir at the place. [g = 10ms\(^{-2}\), density of mercury = 1.2 x 10\(^4\)kg m\(^{-3}\), density of water = 1.0 x 10\(^3\)m\(^{-3}\)]",4.0 x 105Nm-2,3.0 x 105Nm-2,2.0 x 105Nm-2,1.0 x 105Nm-2,B,https://myschool.ng/classroom/physics/45418?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,5,objective,,,,An object floats in a fluid when it displaces it's,volume of liquid in which it floats,mass of fluid in which it foats,weith of fluid in which it foats,density of fluid in which it foats,C,https://myschool.ng/classroom/physics/45419?exam_type=waec&exam_year=2015&type=obj&page=1
2015,2,6,objective,,,,The resultant force in a couple is,zero,infinite,the sum of the forces,thr product of the forces,A,https://myschool.ng/classroom/physics/45420?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,7,diagram-based,,,,The slope of a straight-line velocity-time graph represents,uniform acceleration,uniform speed,total distance travelled,workdone,A,https://myschool.ng/classroom/physics/45421?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,8,objective,,,,A body is projected with an initial velocity U at an angle O to the horizontal. The time taken by it to reach its maximum height is given by the expression,\(\frac{2u \text{sin}\theta}{g}\),\(\frac{u^2 \text{sin}^2\theta}{2g}\),\(\frac{u \text{sin}\theta}{g}\),\(\frac{u \text{sin}\theta}{2g}\),C,https://myschool.ng/classroom/physics/45422?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,9,theory,,,,Which of the following statements describes a body in a stable equilibrium correctly?,a person walking on a tight-rope,ball on a smooth horizontal table,ball resting on an inverted hemisphere bowl,ball in the middle of a nemispherical bowl,D,https://myschool.ng/classroom/physics/45425?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,10,calculation,,,,In a school compound a girl walks 40km due east from the laboratory to the staff room to submit her report. Then she returns and walks 30m due north to her classroom. Determine the magnitude of her displacement from the10m laboratory,10m,35m,50m,70m,C,https://myschool.ng/classroom/physics/45427?exam_type=waec&exam_year=2015&type=obj&page=2
2015,3,11,calculation,,,,Two strings each inclined at an angle 30o to the horizontal are used to hold a bucket of water weighing 20N. Calculate the tension i n each string.,20 (\sqrt{3}\)N,20N,10 (\sqrt{3}\)N,10N,B,https://myschool.ng/classroom/physics/45438?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,12,calculation,,,,"A bullet fired vertically upwards reaches a height of 500m. Neglecting air resistance, calculate the magnitude of the initial velocity of the bullet. [g = 10ms -2 ]",500.0ms-1,100.0ms-1,70.0ms-1,50.0ms-1,B,https://myschool.ng/classroom/physics/45442?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,13,calculation,,,,A uniform bar AB is balanced on a knife-edge which is 60cm from B by a mass of 22g which hangs at C 10cm from A. Calculate the mass of the bar.,133.2g,66.0g,60.0g,22.0g,B,https://myschool.ng/classroom/physics/45443?exam_type=waec&exam_year=2015&type=obj&page=3
