Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2019,1,1,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png,The periodic table is an arrangement of elements according to their?,Oxidation number,Atomic number,Mass number,Number of neutrons,B,https://myschool.ng/classroom/chemistry/57835?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,2,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png,A solid with higher melting and boiling points is likely to be?,Covalent compound,A Dative compound,An Electrovalent compound,A Non-metal,C,https://myschool.ng/classroom/chemistry/57872?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,3,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png,Which of the following metals reacts slowly with cold water?,Iron,Silver,Calcium,Pottassium,C,https://myschool.ng/classroom/chemistry/57916?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,4,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png,which of the following elements has the highest ionization energy?,Calcium,Chlorine,Flourine,Magnesium,C,https://myschool.ng/classroom/chemistry/57924?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,5,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png,The bleaching action of chlorine is through the process?,Hydration,Hydrolysis,Reduction,Oxidation,D,https://myschool.ng/classroom/chemistry/57929?exam_type=waec&exam_year=2019&type=obj&page=1
2019,2,6,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,"If 6.5g of magnesium ribbon reacts completely with Hydrochloric acid, how many grams of hydrogen gas would be liberated? **Mg(s) + 2 HCl(aq) --> MgCl 2(aq) + H 2(g)** **[ H = 1.0, Mg = 24.0 ]**",0.54g,0.70g,1.08g,1.40g,A,https://myschool.ng/classroom/chemistry/57983?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,7,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Calcium and magnesium belong to the group of the periodic table because both?,are metals,form cations,form colourless salts,have same number of valence electrons,D,https://myschool.ng/classroom/chemistry/57984?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,8,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Which of the substances is non-polar?,Bromine,Ammonia,Water,Hydrogen Bromide,A,https://myschool.ng/classroom/chemistry/57990?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,9,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,"Which of the following pairs of components have the same molecular mass? [ H = 1.0, C = 12.0, O = 16.0 ]",Ethene and Ethyne,Ethane and Ethene,Carbon (ii) Oxide and Ethene,Carbon (iv) Oxide and Ethyne,C,https://myschool.ng/classroom/chemistry/58022?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,10,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,"When an equilibrium is established between dissolved and undissolved solutes, the solution is said to be?",Saturated,Unsaturated,Concentrated,Diluted,A,https://myschool.ng/classroom/chemistry/58024?exam_type=waec&exam_year=2019&type=obj&page=2
2019,3,11,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,"How many moles of carbon(iv)oxide contains 16.0g of oxygen? [ C = 12.0, O = 16.0 ]",0.20 mol,0.25 mol,0.40 mol,0.50 mol,D,https://myschool.ng/classroom/chemistry/58026?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,12,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,Stoichiometry is based on the law?,multiple proportion,constant composition,conservation of energy,conservation of mass,D,https://myschool.ng/classroom/chemistry/58028?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,13,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,What is the percentage by mass of H in **CH\(_3\)COOH ?**,1.7%,5.0%,6.7%,7.1%,C,https://myschool.ng/classroom/chemistry/58030?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,14,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,Which of the following compounds has coordinate bonds in its structure?,Al\(_2\)Cl\(_6\),MgCl\(_2\),AgCl,NaCl,A,https://myschool.ng/classroom/chemistry/58033?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,15,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The name of the compound CH\(_3\)C(CH\(_3\))\(_2\)CH\(_2\)CH\(_2\)CH\(_3\),2 - methyl butane,"2,2 - dimethyl butane",2 - methyl pentane,"2,2 - dimethyl pentane",D,https://myschool.ng/classroom/chemistry/58035?exam_type=waec&exam_year=2019&type=obj&page=3
2019,4,16,diagram-based,,,https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,The properties of a good primary standard solution include the following except?,High molecular mass,low molecular mass,high degree of purity,readily available,B,https://myschool.ng/classroom/chemistry/58043?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,17,diagram-based,,,https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,What is the solubility of a salt X at 25ºC if the saturated solution of the salt contains 0.28g in 100cm\(^3\) of the solution in mol\dm\(^3\)? [ X = 56.0g ],0.05,0.10,2.60,2.80,A,https://myschool.ng/classroom/chemistry/58047?exam_type=waec&exam_year=2019&type=obj&page=4
