Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2019,1,1,objective,,,,God blessed and hallowed the seventh day because it was a day of ______________,Fast,Worship,Praise,Rest,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57080?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,2,objective,,,,Adam was placed in the garden of Eden located in the __________,East,West,North,South,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/57083?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,3,objective,,,,The creation of woman was necessitated by the need for ____________,Consultation,Companionship,Love,Solidarity,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/57084?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,4,objective,,,,"Jacob showed preference for Joseph because, Joseph________________",Always spoke the truth,Had the spirit of God in him,Loved his brother unconditionally,Was born in his old age,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57085?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,5,objective,,,,The main reason for which Joseph's brothers sold him was __________________,Love for money,Jealousy,Desire to elimate others,Hatred,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57087?exam_type=waec&exam_year=2019&type=obj&page=1
2019,2,6,objective,,,,Shiphrah and Puah refused to obey Pharaoh because______________,Pharaoh wanted to kill the Israelite babies,Pharaoh wanted to control the Hebrew population,They were kinsmen of the Israelites,They were women who feared God,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57088?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,7,objective,,,,"But behold, they will not believe me or listen to my voice, for they will say, the Lord did not appear to you. Who made this remark?",Aaron,Moses,Joseph,Jacob,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/57091?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,8,objective,,,,The Israelites asked Aaron to make gods for them because they___________,Wanted a god to lead them back to Egypt,Felt God had neglected them due to their sins,Felt Moses had delayed on Mount Sinai,Were under severe attack by the Egyptians,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/57093?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,9,objective,,,,Joshua was invested with some of Moses authority so that the Israelites might______________,Honour him,Bless him,Purify him,Obey him,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57096?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,10,objective,,,,Barak deployed a troop of then thousand men as advised by Deborah on Mount____________,Tabor,Sina,Gillboa,Nebo,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/57097?exam_type=waec&exam_year=2019&type=obj&page=2
2019,3,11,objective,,,,"It is the Lord, let Him do what seems good to Him. These words were said ___________",Saul,Samuel,Moses,Eli,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57101?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,12,objective,,,,The glory has departed from Israel was the meaning of the name ____________,Samuel,Eli,Phinehas,Ichabod,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57103?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,13,objective,,,,"Prophet Samuel, like Eli, had two worthless sons called ___________",Joel and Abihu,Nadab and Abihu,Joel and Abijah,Gershom and Abijah.,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/57104?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,14,objective,,,,David entered into Saul's service because he was _________,A skillful musician,Prudent in speech,An intelligent warrior,A man after God's heart,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/57106?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,15,objective,,,,"I have done wrong; return, my son David, for I will no more do you harm because my life was precious in your eyes this day;...... who made this statement?",Samuel,Joab,Abner,Saul,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57108?exam_type=waec&exam_year=2019&type=obj&page=3
2019,4,16,objective,,,,The first child David had with Bathsheba died on the _________,third day,seventh day,eleventh day,fifteenth day,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/57109?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,17,objective,,,,Solomon asked God for an understanding mind to govern Israel so that he could_________,rule in peace,develop the nation,discern what is right,build the temple,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/57110?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,18,objective,,,,"During the dedication of the temple by Solomon, the cloud which filled the house symbolized the _________",angels,saints,glory of God,righteousness of the people.,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/57112?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,19,objective,,,,"To your tents, O Israel! Look now to your own house. David. This call was made because____________",Rehoboam increased the Northern Kingdom's burden,Solomon favoured the Southern kingdom,Solomon imposed heavy taxes on the people,Rehoboam refused to grant the Northerners' petition.,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57114?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,20,objective,,,,"During the reign of King Ahab, Hiel of Bethel rebuilt Jericho at the cost of the lives of his children____________",Amram and Adonijah,Hophni and Phinehas,Abinadab and Malchishua,Abiram and Segub,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57117?exam_type=waec&exam_year=2019&type=obj&page=4
2019,5,21,objective,,,,"As a result of King Ahab's sin, the people of Israel suffered_____________",pestilence,drought,plague,earthquake.,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/57118?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,22,objective,,,,Naboth was killed so that____________,God might punish Ahab and Jezebel,Ahab's authority would prevail,Ahab might own his property,Ahab might stop fasting,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/57121?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,23,objective,,,,The aftermath of Gehazi's actions led to Elisha__________,rebuking him for his greed,commending him for his cleverness,pronouncing a curse on him and his generation,stopping Gehazi from working with him,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/57127?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,24,objective,,,,King Josiah was inspired to reform the worship of God in Judah by the____________,Priests of Yahweh,"Temple secretary, Shaphan",Workers repairing the temple,contents of the book of the law,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57130?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,25,objective,,,,The death of Josiah occurred when he_______,crossed the Jordan to Hazor,fought Pharaoh Neco at Megiddo,fought the Babylonians at UR,took his reforms to the North,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/57132?exam_type=waec&exam_year=2019&type=obj&page=5
2019,6,26,objective,,,,Which factor influenced King Artaxerxes to favour Nehemiah?,Faithfulness,Tolerance,Obedience,Prayer,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/57135?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,27,objective,,,,"Before rebuilding the wall of Jerusalem, Nehemiah first ____________",confided in a few people with his plan,called a general meeting to assess the damage,studied and assessed the extent of the damage,attacked the arch enemies of Judah,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/57139?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,28,objective,,,,The excellent spirit in Daniel caused the Satraps to be_____________________________,Angry with him,Jealous of him,Bitter with him,Friendly with him.,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/57143?exam_type=waec&exam_year=2019&type=obj&page=6
