Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2021,1,1,general,,,,correct 0.007985 to three significant figures.,0.0109,0.0800,0.00799,0.008,C,https://myschool.ng/classroom/mathematics/61137?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,2,algebra,,,,Simplify: (11\(_{two}\))\(^2\),1001\(_2\),1101\(_2\),101\(_2\),10001\(_2\),A,https://myschool.ng/classroom/mathematics/61138?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,3,general,,,,Solve: 2\(^{\sqrt{2x + 1}}\) = 32,13,24,12,11,C,https://myschool.ng/classroom/mathematics/61139?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,4,general,,,,"If log\(_{10}\) 2 = m and log\(_{10}\) 3 = n, find log\(_{10}\) 24 in terms of m and n.",3m + n,m + 3n,4mn,3mn,A,https://myschool.ng/classroom/mathematics/61140?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,5,general,,,,"Find the 5th term of the sequence 2,5,10,17....?",22,24,36,26,D,https://myschool.ng/classroom/mathematics/61141?exam_type=waec&exam_year=2021&type=obj&page=1
2021,2,6,general,,,,"if p = {-3<x<1} and Q = {-1<x<3}, where x is a real number, find P n Q.",0,"-3, -2, -1, 0 and 1","-2, -1 and 0","-1, 0 and 1",A,https://myschool.ng/classroom/mathematics/61142?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,7,algebra,,,,Factorize 6pq-3rs-3ps+6qr,3(r -p)(2q + s),3(p + r)( 2q - 2q - s),3(2q - s)(p + r),3(r - p)(s - 2q),C,https://myschool.ng/classroom/mathematics/61143?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,8,general,,,,What number should be subtracted from the sum of 2 \(\frac{1}{6}\) and 2\(\frac{7}{12}\) to give 3\(\frac{1}{4}\)?,\(\frac{1}{3}\),1\(\frac{1}{2}\),1\(\frac{1}{6}\),\(\frac{1}{2}\),B,https://myschool.ng/classroom/mathematics/61144?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,9,word-problem,,,,Mensah is 5 years old and joyce is thrice as old as mensah. In how many years will joyce be twice as old as Mensah?,3 years,10 years,5 years,15 years,C,https://myschool.ng/classroom/mathematics/61146?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,10,general,,,,"If 16 * 2\(^{(x + 1)}\) = 4\(^x\) * 8\(^{(1 - x)}\), find the value of x.",-4,4,1,-1,D,https://myschool.ng/classroom/mathematics/61153?exam_type=waec&exam_year=2021&type=obj&page=2
