Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2018,1,1,objective,,,,The S.I unit for sound energy is,Hz,cd,dB,J,D,https://myschool.ng/classroom/physics/49626?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,2,objective,,,,The general definition of elastic modulus is,\(\frac{stress}{strain}\),\(\frac{strain}{stress}\),\(stress \times strain\),\(\sqrt{\frac{stress}{strain}}\),A,https://myschool.ng/classroom/physics/49631?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,3,diagram-based,,,https://myschool.ng/storage/classroom/uyTcizqr5PYVBfixggyMCzV5JutvzN4Kadl4noau.jpeg,The diagram above illustrates a simple barometer. Which distance measures the atmospheric pressure?,PQ,QR,RS,QS,B,https://myschool.ng/classroom/physics/49635?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,4,objective,,,,The property of a body to remain at rest or to continue in uniform motion in a straight line is called,momentum,Inertia,impulse,Energy,B,https://myschool.ng/classroom/physics/49639?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,5,objective,,,,"During a training session, two footballers pass a ball repeatedly between each other. The 'to and fro' motion of the ball is not simple harmonic because the I. Acceleration of the ball is not directed towards a fixed point II. Restoring force is not directed towards the centre III. Acceleration of the ball is not directly proportional to the displacement from a fixed point Which of the statements above are correct?",I and III only,I and II only,II and III only,"I, II and III",D,https://myschool.ng/classroom/physics/49646?exam_type=waec&exam_year=2018&type=obj&page=1
2018,2,6,objective,,,,A dam is able to hold a large quantity of water because its wall is,thickest at the top,thickest at the middle,thickest at the bottom,of the same thickness throughout,C,https://myschool.ng/classroom/physics/49648?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,7,objective,,,,A body of mass **m** moving around a circle of radius **r** with a uniform speed **v** experiences a centripetal force **F.** The work done by the centripetal force on it is,Fv,zero,Fmr,\(\frac{Fr}{m}\),B,https://myschool.ng/classroom/physics/49653?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,8,diagram-based,,,https://myschool.ng/storage/classroom/5IL88z55Dysn2Rj0HIQ2otEt4Ib9mT6RZuRe0Otn.jpeg,A block is acted upon by TWO horizontal forces as illustrated in the diagram above. The block accelerates at 1.5\(ms^{-2}\). Calculate the mass of the block.,6kg,9kg,10kg,15kg,A,https://myschool.ng/classroom/physics/49655?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,9,objective,,,,Which of the following quantities are dimensionally independent? I. Dielectric constant II. Momentum III. Efficiency IV. Refractive index,I and II,"II, III and IV","I, II, III and IV","I, III and IV",D,https://myschool.ng/classroom/physics/49662?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,10,objective,,,,"A body is projected with an initial velocity **u** at angle \(\theta\) to the horizontal. If \(R_{max}\) is the maximum range of the projectile, what does the relation \(\frac{u^{2}}{R_{max}}\) represent?",The vertical distance covered,Acceleration due to gravity,The horizontal distance covered,The acceleration of the body,B,https://myschool.ng/classroom/physics/49664?exam_type=waec&exam_year=2018&type=obj&page=2
