Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2016,1,1,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,"The following atoms of carbon 12 6 C, 13 6 C and 14 6 C can be described as?",Allotropes,Isomers,Isotopes,Isotones,C,https://myschool.ng/classroom/chemistry/45081?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,2,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,"An atom X consist of 6 protons, 6 electrons and 7 neutrons. Which of the following representations of the atom is correct?",136X,137X,196X,197X,A,https://myschool.ng/classroom/chemistry/45082?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,3,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,How many electrons are present in \(^9_4Be^{2+}\)?,2,4,5,6,A,https://myschool.ng/classroom/chemistry/45083?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,4,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,"When element \(_{20}\)Y combines with element \(_8\)Z, it forms","A covalent compound , YZ is formed","A covalent compound, ZY is formed","An ionic compound, YZ is formed","An ionic compound, ZY is formed",C,https://myschool.ng/classroom/chemistry/45084?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,5,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,"The boiling points of HF, H2O and NH3 increase in the order of",NH3,H2O < HF,HF < NH3< H2O,NH3< HF < H2O,D,https://myschool.ng/classroom/chemistry/45085?exam_type=waec&exam_year=2016&type=obj&page=1
2016,2,6,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Chemicals that are produced in small quantities and with very degree of purity are,Bulk chemicals,Fine chemicals,Heavy chemicals,Light chemicals,B,https://myschool.ng/classroom/chemistry/45086?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,7,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,The mass of potassium hydroxide required to make 300.ocm 3 of 0.4 moldm -3 solution is {KOH = 56.0},26.88g,13.44g,6.72g,3.36g,C,https://myschool.ng/classroom/chemistry/45087?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,8,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Metals can be stretched into wires because they are,Ductile,Good conductors,Lustrous,Malleable,A,https://myschool.ng/classroom/chemistry/45088?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,9,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Aluminium is used in the manufacture or aircraft because it,Is hard and brittle,Is light and resists corrosion,Has high density and conducts electricity,Is malleable and ductile,B,https://myschool.ng/classroom/chemistry/45089?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,10,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,An unsaturated solution differs from a saturated solution at a given temperature because it,Cannot dissolve more solute,Can hold more solute than it can actually dissolve,Can still dissolve more solute at given temperature,Form crystal more easily on cooling,C,https://myschool.ng/classroom/chemistry/45090?exam_type=waec&exam_year=2016&type=obj&page=2
2016,3,11,diagram-based,,,https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,Which of the following arrangements shows increasing order of reactivity of the halogens?,F2> Cl2> Br2>I2,I2< Br2< Cl2< F2,F2< Cl2< Br2< I2,I2> Br2> Cl2> F2,B,https://myschool.ng/classroom/chemistry/45091?exam_type=waec&exam_year=2016&type=obj&page=3
