Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2018,1,1,objective,,,,The Main Character in a Play or Novel is the ____________,Protagonist,Narrator,Villain,Antagonist,A,https://myschool.ng/classroom/literature-in-english/49493?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,2,objective,,,,A dramatic performance with **ONLY** bodily movements and no speech is a _____________,Farce,Mime,Slapstick,Burlesque,B,https://myschool.ng/classroom/literature-in-english/49495?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,3,objective,,,,"Before a play is performed, it is ___________",Auditioned,Applauded,Rehearsed,Recited,C,https://myschool.ng/classroom/literature-in-english/49496?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,4,objective,,,,A play that moves the audience to pity and fear is a ____________,Comedy,Farce,Pantomime,Tragedy,D,https://myschool.ng/classroom/literature-in-english/49498?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,5,objective,,,,A Sonnet has a final couplet when it has___________,A sestet,An octave,Two sestets,Three quatrains,D,https://myschool.ng/classroom/literature-in-english/49500?exam_type=waec&exam_year=2018&type=obj&page=1
2018,2,6,objective,,,,*He is my most beloved enemy* ilustrates *__________*,Synecdoche,Oxymoron,Metonymy,Litotes,B,https://myschool.ng/classroom/literature-in-english/49502?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,7,objective,,,,The cast appears at the end of a play for the ___________-,Musical,Curtain Call,Intermission,Introduction,B,https://myschool.ng/classroom/literature-in-english/49504?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,8,objective,,,,Diction is a writer's choice of___________-,Style,Syntax,Rhythm,Words,D,https://myschool.ng/classroom/literature-in-english/49505?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,9,objective,,,,A poem which celebrates simple country life is___________,A dirge,An ode,An epic,A pastoral,D,https://myschool.ng/classroom/literature-in-english/49506?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,10,objective,,,,**Oh spite! Oh Hell!! I see you are all bent** **To set aganist me for your merriment.** The lines illustrate__________,Epitaph,Epigram,Apostrophe,Allusion,C,https://myschool.ng/classroom/literature-in-english/49508?exam_type=waec&exam_year=2018&type=obj&page=2
2018,3,11,objective,,,,"Hamartia, in a literary work refers to a hero's_________",Tragic flaw,Inordinate ambition,strength of character,Good works,A,https://myschool.ng/classroom/literature-in-english/49509?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,12,objective,,,,**Who lied in the chapelNow lies in the Abbey** The dominant device used is___________-,Paradox,Pun,Chiasmus,Zeugma,B,https://myschool.ng/classroom/literature-in-english/49512?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,13,objective,,,,A short play perfomed during the pause between the acts of a longer play is____________-,An Interlude,An epilogue,A prologue,An interval,A,https://myschool.ng/classroom/literature-in-english/49513?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,14,objective,,,,*Weeping Willow* illustrates________,Dramatic Monologue,Pathetic Fallacy,Transferred epithet,Dramatic Irony,B,https://myschool.ng/classroom/literature-in-english/49515?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,15,passage-based,,"**But the towering earth was tired of sitting in one position.She moved suddenly and the houses crumbled, the mountains heaved horrible, and the work of a million years was lost**",,"*But the towering earth was tired of sitting in one position.She moved suddenly and the houses crumbled, the mountains heaved horrible, and the work of a million years was lost* The predominant figure of speech in the extract is____________",Oxymoron,Personification,Contrast,Paradox,B,https://myschool.ng/classroom/literature-in-english/49517?exam_type=waec&exam_year=2018&type=obj&page=3
2018,4,16,passage-based,,"**But the towering earth was tired of sitting in one position.She moved suddenly and the houses crumbled, the mountains heaved horrible, and the work of a million years was lost**",,"*But the towering earth was tired of sitting in one position.She moved suddenly and the houses crumbled, the mountains heaved horrible, and the work of a million years was lost* The extract is about____________",An earthquake,A flood,An explosion,A storm,A,https://myschool.ng/classroom/literature-in-english/49519?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,17,passage-based,,"**But the towering earth was tired of sitting in one position.She moved suddenly and the houses crumbled, the mountains heaved horrible, and the work of a million years was lost**",,"*But the towering earth was tired of sitting in one position.She moved suddenly and the houses crumbled, the mountains heaved horrible, and the work of a million years was lost* The effect of the extract is conveyed through the use of___________",Antithesis,Parallelism,Conceit,Climax,D,https://myschool.ng/classroom/literature-in-english/49521?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,18,passage-based,,"Beware her faintly failing health, and gentle gallands around her speed",,"*Beware her faintly failing health, and gentle gallands around her speed* Illustrates_________",Oxymoron,Alliteration,Synecdoche,Repetition,B,https://myschool.ng/classroom/literature-in-english/49524?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,19,objective,,,,The eight-line part of a Petrarchan sonnet is the________________,Quatrain,Octave,Octameter,Quartet,B,https://myschool.ng/classroom/literature-in-english/49527?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,20,objective,,,,The metrical beat in the *The Splendor falls on castle walls is___________*,Anapaestic,Dactylic,Trochaic,Iambic,D,https://myschool.ng/classroom/literature-in-english/49528?exam_type=waec&exam_year=2018&type=obj&page=4
2018,5,21,objective,,,,The expression *door hugged the couple* illustrates_________,Euphemism,Personification,Litotes,Onomatopoeia,B,https://myschool.ng/classroom/literature-in-english/49536?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,22,objective,,,,The narrative technique is___________,First person,Stream of consciousness,Third person,Interior monologue,B,https://myschool.ng/classroom/literature-in-english/49538?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,23,theory,,,,*How would he explain it to himself?* exemplifies________,Hyperbole,Parallelism,Rhetorical question,Understatement,C,https://myschool.ng/classroom/literature-in-english/49541?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,24,objective,,,,The writer's attitude towards James is **ONE** of ______,Sympathy,Distrust,Support,Disapproval,B,https://myschool.ng/classroom/literature-in-english/49544?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,25,objective,,,,The setting is_____________,The couple's home,A modern hotel,The airport,A school,B,https://myschool.ng/classroom/literature-in-english/49547?exam_type=waec&exam_year=2018&type=obj&page=5
2018,6,26,objective,,,,The mood of the persona is one of___________,Contempt,Hilarity,Despondency,Hopefulness,C,https://myschool.ng/classroom/literature-in-english/49556?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,27,objective,,,,The theme of the poem is_______,Love in the garden,The acceptance,The rising moon,Unrequited Love,D,https://myschool.ng/classroom/literature-in-english/49559?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,28,objective,,,,The envy of the persona's friends is expressed in the __________,Avid touch,Clipped wings,Green and Frosty eyes,Song-filled air pocket,C,https://myschool.ng/classroom/literature-in-english/49561?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,29,objective,,,,Line 2 is in iambic___________,Trimether,Tetrameter,Pentameter,Hexameter,A,https://myschool.ng/classroom/literature-in-english/49562?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,30,objective,,,,The last line illustrates___________,Parallelism,Contrast,Hyperbole,Metaphor,D,https://myschool.ng/classroom/literature-in-english/49563?exam_type=waec&exam_year=2018&type=obj&page=6
2018,7,31,objective,,,,"Just before this, Iago advises Othello to____________",Stay there,Go in,Show concern,Be fair,B,https://myschool.ng/classroom/literature-in-english/49570?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,32,objective,,,,*By Janus* *is* _____________,Flashback,Foregrounding,An allusion,Euphemism,A,https://myschool.ng/classroom/literature-in-english/49571?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,33,objective,,,,The news Othello receives is that he must___________,Set sail for Cyprus,Reconcile the Brabantio,Prepare a Military strategy,Appear before the council,D,https://myschool.ng/classroom/literature-in-english/49573?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,34,objective,,,,Duke is in council that night because of_____________,Brabantio's complaint,Iago's demotion,The Turkish threat,Cassio's Dismissal as Lieutenant,C,https://myschool.ng/classroom/literature-in-english/49576?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,35,objective,,,,"Later on, Brabantio accuses Othello of___________",Being unfair to Iago,Instigating a brawl,Stealing his daughter,Being a Knave,C,https://myschool.ng/classroom/literature-in-english/49578?exam_type=waec&exam_year=2018&type=obj&page=7
2018,8,36,objective,,,,The speaker is_________,Brabantio,Duke,Montano,Lodovico,B,https://myschool.ng/classroom/literature-in-english/49581?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,37,objective,,,,He is responding to_________,Montano,Iago,Roderigo,Brabantio,D,https://myschool.ng/classroom/literature-in-english/49585?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,38,objective,,,,The setting is_____________-,A council chamber,"Venice, a street",Another street outside the Sagittary,The citadel of cyprus,A,https://myschool.ng/classroom/literature-in-english/49588?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,39,objective,,,,These lovers refers to_________,Iago and Emilia,Cassio and Bianca,Roderigo and Desdemona,Othello and Desdemona,D,https://myschool.ng/classroom/literature-in-english/49590?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,40,objective,,,,The expression *lay a sentence* means _________,Decide who is guilty,Offer criticism,Give advice,Speak politely,C,https://myschool.ng/classroom/literature-in-english/49592?exam_type=waec&exam_year=2018&type=obj&page=8
2018,9,41,objective,,,,Othello is brought to the scene because___________,Iago is drunk,A bell has been rung,People are fighting,Cassio has stabbed Montano,D,https://myschool.ng/classroom/literature-in-english/49599?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,42,objective,,,,The underlined expression refers to the____________,Intervention of the storm in the war,Return of the victorious army to Cyprus,Killing of Roderigo by Iago,Stabbing of Montano by Cassio,A,https://myschool.ng/classroom/literature-in-english/49601?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,43,objective,,,,"In ""Who began this"" This refers to the ______________",Theft,War,Bell,Brawl,D,https://myschool.ng/classroom/literature-in-english/49602?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,44,objective,,,,"To Othello, Iago is________________",Sincere,A negligent guard,Untrustworthy,A loyal senator,A,https://myschool.ng/classroom/literature-in-english/49607?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,45,objective,,,,The major consequence of the brawl is that___________,Montano is killed,Roderigo demands his money back,Cassio is dismissed,Iago is given charge of the city,C,https://myschool.ng/classroom/literature-in-english/49611?exam_type=waec&exam_year=2018&type=obj&page=9
2018,10,46,objective,,,,The speaker is__________---,Iago,Desdemona,Cassio,Emilia,D,https://myschool.ng/classroom/literature-in-english/49617?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,47,objective,,,,The speaker is addressing__________,Othello,Montano,Duke,Roderigo,A,https://myschool.ng/classroom/literature-in-english/49618?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,48,objective,,,,The speech is in response to___________,The allegation that the speaker has lied about Desdemona,Iago's disdain for Othello,Othello's suspicion that Cassio and Desdemona are lovers,Brabantio's rejection of his daughter,C,https://myschool.ng/classroom/literature-in-english/49619?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,49,objective,,,,"The line *""Remove your thought, It doth abuse your bossom""* Is best paraphrased ______________",You are not wise,Do not kill yourself,You are ungrateful,You demean yourself by thinking so,D,https://myschool.ng/classroom/literature-in-english/49620?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,50,theory,,,,The character being spoken of is described as___________,Unhappy,Virtuous,Generous,Wretched,B,https://myschool.ng/classroom/literature-in-english/49621?exam_type=waec&exam_year=2018&type=obj&page=10
