Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2017,1,1,objective,,,,"According to Karl Max, socialism developed as a consequence of the evils of ________",monarhcy,communalism,feudalism,capitalism,D,https://myschool.ng/classroom/government/46869?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,2,objective,,,,"In the United States of America, legislature is called the",Congress,National Assembly,National Security,Parliament,A,https://myschool.ng/classroom/government/46870?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,3,objective,,,,Which of the following agents can be considered as the most effective agent of political socialisation? The _______,family,peer group,school,mass media,A,https://myschool.ng/classroom/government/46871?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,4,objective,,,,A corrupt judicial system erodes the observance of _______,national peace and stability,the rule of law,international laws and conventions,democratic values of the executive,B,https://myschool.ng/classroom/government/46872?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,5,objective,,,,The body responsible for the implementation of law is the _____,judiciary,legislature,executive,court,C,https://myschool.ng/classroom/government/46873?exam_type=waec&exam_year=2017&type=obj&page=1
2017,2,6,constitution,,,,"In a constitutional monarchy, the king or queen is referred to as",ceremonial head,political head,constitutional head,democratic leader,A,https://myschool.ng/classroom/government/46874?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,7,objective,,,,Military intervention into the politics of a state involves ______,an overthrow of a legitimate government by pressure groups,the seizure of power from a legitimate government by the armed forces,violent overthrow of a democratic government by the police,the legitimate seizure of power by the police and civilians,B,https://myschool.ng/classroom/government/46875?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,8,objective,,,,Local government are vital in modern politics as they ________,encourage dictatorship,train the local people in the art of governance,make laws for the whole country,execute government policies at all levels,B,https://myschool.ng/classroom/government/46876?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,9,objective,,,,Which of the following is a civil/public servant?,House majority leader,Clerk of the House,Party whip,Minister of education,D,https://myschool.ng/classroom/government/46877?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,10,objective,,,,"In a military regime, the arms of government that are usually fused are _________",executive and judiciary,legislature and local council,legislature and executive,judiciary and the press,C,https://myschool.ng/classroom/government/46878?exam_type=waec&exam_year=2017&type=obj&page=2
2017,3,11,constitution,,,,A constitution is considered to be flexible if it _______?,can be amended by a simple majority,can be altered through special procedure,requires two third majority,is difficult to amend,A,https://myschool.ng/classroom/government/46879?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,12,objective,,,,The principle of checks and balances is important because it,prevents each organ of government from being dictatorial,frees other organs from judicial control,makes the organs confront themselves,makes the government to perform it civic responsibilities,A,https://myschool.ng/classroom/government/46880?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,13,objective,,,,Which of the following is a fundamental right? Right to,life,education,criticize government,public office,A,https://myschool.ng/classroom/government/46881?exam_type=waec&exam_year=2017&type=obj&page=3
