Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2019,1,1,objective,,,,A literary work which is intended to teach a moral lesson is __________,romantic,didactic,mimetic,moralistic.,B,https://myschool.ng/classroom/literature-in-english/58471?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,2,objective,,,,A short account of an interesting event is ________,a tale.,an anecdote,an episode.,a story,B,https://myschool.ng/classroom/literature-in-english/58472?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,3,objective,,,,He is a citizen of no mean city illustrates _________,bathos,euphemism,metonymy,litotes,D,https://myschool.ng/classroom/literature-in-english/58473?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,4,objective,,,,"The introductory part of a play, a novel or a poem is the ________",epilogue,plot,setting,prologue,D,https://myschool.ng/classroom/literature-in-english/58474?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,5,objective,,,,An elegy is a poem of ________,mourning,complain,hope,joy,A,https://myschool.ng/classroom/literature-in-english/58502?exam_type=waec&exam_year=2019&type=obj&page=1
2019,2,6,objective,,,,The trees bowed their heads in shame illustrates ________,personification,alliteration,assonance,paradox,A,https://myschool.ng/classroom/literature-in-english/58504?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,7,objective,,,,A character whose actions are predictable in a literary work is _________,round characte,a flat character,the hero,the villain,B,https://myschool.ng/classroom/literature-in-english/58505?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,8,objective,,,,A scene in fiction enacting past events is __________,allusion,foreshadow,flashback,interlude,C,https://myschool.ng/classroom/literature-in-english/58506?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,9,objective,,,,Poetic licence is a term applied to a poet's _______,choice of word,choice of characters,restrictions in the use of language,freedom in the use of language,D,https://myschool.ng/classroom/literature-in-english/58508?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,10,objective,,,,*Milton! thou should'st be living at this hour* . The literary device used in the line above is _________,aside,apostrophe,soliloquy,suspense,B,https://myschool.ng/classroom/literature-in-english/58510?exam_type=waec&exam_year=2019&type=obj&page=2
2019,3,11,biblical-reference,,,,"*Here lie I, Martin Eliginbrodde* *Have mercy on my soul, Lord Gọd* The extract above illustrates ______",epitaph,elegy,ballad,dirge,A,https://myschool.ng/classroom/literature-in-english/58511?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,12,objective,,,,"We live to die, we die to live is an example of _________",paradox,hyperbole,inversion,Oxymoron,A,https://myschool.ng/classroom/literature-in-english/58513?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,13,passage-based,,,,"*Read the poem and answer questions 13 to 15.* Here she lies, a pretty bud, Lately made of flesh and blood; Who as soon fell fast asleep As her little eyes did peep. Give her strewings, but not stir The earth that lightly covers her. The poem is about a/an ___________",flower,old woman,little child,traveller,B,https://myschool.ng/classroom/literature-in-english/58527?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,14,objective,,,,The persona's mood is one of ________,anger,admiration,indifference,joy,B,https://myschool.ng/classroom/literature-in-english/58529?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,15,objective,,,,"The, rhyme pattern is ______",abc abc,aa bb cc,ab ab cc,aa bc bc,B,https://myschool.ng/classroom/literature-in-english/58532?exam_type=waec&exam_year=2019&type=obj&page=3
2019,4,16,objective,,,,A play in which characters act through gestures and facial expressions is a _______,pantomime,burlesque,melodrama,farce,A,https://myschool.ng/classroom/literature-in-english/58533?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,17,objective,,,,Characterization refers to __________,how characters are grouped,the readers' opinions of the characters,how characters are depicted,the roles played by the character,D,https://myschool.ng/classroom/literature-in-english/58535?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,18,objective,,,,"In a literary work, the foil is one who ________",complements another character,contrasts with another character,introduces the conflict,resolves the conflict,B,https://myschool.ng/classroom/literature-in-english/58538?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,19,objective,,,,Dramatis personae refers to ________,audience,characters,chorus,cast,B,https://myschool.ng/classroom/literature-in-english/58540?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,20,objective,,,,A literary' device used to enhance sound effect in poetry is __________,imagery,alliteration,refrain,symbol,B,https://myschool.ng/classroom/literature-in-english/58554?exam_type=waec&exam_year=2019&type=obj&page=4
2019,5,21,objective,,,,...supine eyes ... illustrates _______,oxymoron,paradox,verbal irony,synecdoche.,A,https://myschool.ng/classroom/literature-in-english/58559?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,22,objective,,,,Rumbling as used in the 1st paragraph is ______,onomatopoeic,metaphoric,ironic,alliterative,B,https://myschool.ng/classroom/literature-in-english/58560?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,23,objective,,,,The dominant theme is ______,unrequited love,loss of opportunity,lack of trust.,insatiable hunger,B,https://myschool.ng/classroom/literature-in-english/58561?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,24,objective,,,,The narrative technique is ________,third person,first person,interior-monologue,multiple narration.,A,https://myschool.ng/classroom/literature-in-english/58562?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,25,objective,,,,The writer's attitude is one of ________,anger,indifference,sympathy,mockery,C,https://myschool.ng/classroom/literature-in-english/58564?exam_type=waec&exam_year=2019&type=obj&page=5
2019,6,26,objective,,,,The stanzas are written in _________,quintets,quatrains,sestets,tercets,B,https://myschool.ng/classroom/literature-in-english/58566?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,27,objective,,,,The recurrent device used is ________,synecdoche,apostrophe,metonymy,paradox,B,https://myschool.ng/classroom/literature-in-english/58567?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,28,objective,,,,The mood of the poet is ________,derisive,ecstatic,regretful,melancholic,C,https://myschool.ng/classroom/literature-in-english/58568?exam_type=waec&exam_year=2019&type=obj&page=6
