Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2024,1,1,objective,,,,The development of commerce was promoted by,warehousing,transportation,specialization,manufacturing,D,https://myschool.ng/classroom/commerce/72954?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,2,objective,,,,The major setback of e-commerce in West Africa is?,unbalance economic growth,poor communication infrastructure,political interference,lack of industries,B,https://myschool.ng/classroom/commerce/72955?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,3,objective,,,,Conversion of raw materials into finished goods is?,tertiary production,secondary production,primary production,batch production,B,https://myschool.ng/classroom/commerce/72956?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,4,objective,,,,A source of finance peculiar to public companies is,sales of shares,personal savings,membership contribution,borrowing from friends,A,https://myschool.ng/classroom/commerce/72957?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,5,practical,,,,An example of an entrepreneur is a,board member,debenture holder,bank manager,sole proprietor,D,https://myschool.ng/classroom/commerce/72958?exam_type=waec&exam_year=2024&type=obj&page=1
2024,2,6,practical,,,,An example of an entrepreneur is a,board member,debenture holder,bank manager,sole proprietor,D,https://myschool.ng/classroom/commerce/72959?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,7,objective,,,,"A partner who loses his capital only, in case of bankruptcy, is a",a normal partner,a limited partner,general partner,an active partner,B,https://myschool.ng/classroom/commerce/72960?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,8,objective,,,,Ship building is an activity under,commercial occupation,indirect service,industrial occupation,direct service,C,https://myschool.ng/classroom/commerce/72961?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,9,objective,,,,The process of making goods and proving services for consumption is,exchange,occupation,production,specialization,C,https://myschool.ng/classroom/commerce/72962?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,10,objective,,,,A disadvantage of a sole trader is that they pay,pay tax to the government,has limited liability,has unlimited liability,does not share profit with others,C,https://myschool.ng/classroom/commerce/72963?exam_type=waec&exam_year=2024&type=obj&page=2
2024,3,11,objective,,,,Raw materials are classified as,capital employed,capital owned,circulating capital,fixed capital,C,https://myschool.ng/classroom/commerce/72964?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,12,objective,,,,A factor that determines the occupation of people living along coastal areas is,availability of housing,Good road network,natural resources available,size of the population,C,https://myschool.ng/classroom/commerce/72965?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,13,objective,,,,An advantage of self-service to customers is that it,encourages impulse buying,enables customers to inspect goods,enables customers to buy on credit,leads to a reduction in price,A,https://myschool.ng/classroom/commerce/72966?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,14,objective,,,,"use the information below to answer this question opening stock 22,000.00 purchases 20,000.00 Debtor 12,000.00 Creditors 8,000.00 Closing stock 8,000.00 overdraft 5,000.00 calculate the average stock","D15,000.00","D14,000.00","D13,000.00","D10,000.00",A,https://myschool.ng/classroom/commerce/72967?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,15,objective,,,,"use the information below to answer this question opening stock 22,000.00 purchases 20,000.00 Debtor 12,000.00 Creditors 8,000.00 Closing stock 8,000.00 overdraft 5,000.00 The value of current liabilities is","D10,000.00","D13,000.00","D13,000.00","D15,000.00",C,https://myschool.ng/classroom/commerce/72968?exam_type=waec&exam_year=2024&type=obj&page=3
2024,4,16,objective,,,,One of the aims of customers' association is to advocate for,low-income tax,high wages,high prices of product,Good quality product,C,https://myschool.ng/classroom/commerce/72969?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,17,objective,,,,Pre-financing production is a wholesaler's function to,manufactures,retailers,distributors,consumers,A,https://myschool.ng/classroom/commerce/72970?exam_type=waec&exam_year=2024&type=obj&page=4
