Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2015,1,1,objective,,,,The practice of giving a particular name to a product by a manufacturer is,branding,standardization,publicity,advertising,A,https://myschool.ng/classroom/commerce/48990?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,2,objective,,,,An extra commission paid to an agent who guarantees credit sales made by him is?,del credere,guarantors fee,jobber's turn,brokerage,A,https://myschool.ng/classroom/commerce/48995?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,3,objective,,,,A professional in insurance who evaluates the level of loss claims is,adjuster,accessor,underwriter,an actuary,D,https://myschool.ng/classroom/commerce/48999?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,4,objective,,,,The insurance services rendered to a foreign shipping company are treated as?,invisible export,invisible imports,visible export,balance of payment,A,https://myschool.ng/classroom/commerce/49000?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,5,objective,,,,Dividing the market for a product according to potential buyers who have common characteristics is?,market analysis,market penetration,market segmentation,market research,C,https://myschool.ng/classroom/commerce/49012?exam_type=waec&exam_year=2015&type=obj&page=1
2015,2,6,objective,,,,Which of the following aids to trade facilitates production ahead of demand,insurance,transport,advertising,warehousing,D,https://myschool.ng/classroom/commerce/49016?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,7,objective,,,,"When a government acquires business enterprises formerly owned by individuals, it is termed?",commercialization,indigenization,privatization,nationalization,D,https://myschool.ng/classroom/commerce/49019?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,8,objective,,,,How many countries make up the River Niger Basin commission,16,12,10,9,D,https://myschool.ng/classroom/commerce/49020?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,9,objective,,,,Which of the following means of payment makes the bank both the drawer and drawee,standing order,bill of exchange,bank draft,open cheque,C,https://myschool.ng/classroom/commerce/49021?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,10,objective,,,,An association that protects the interest of members in the same line of business is?,consumer association,trade union,trade association,chamber of commerce,C,https://myschool.ng/classroom/commerce/49022?exam_type=waec&exam_year=2015&type=obj&page=2
2015,3,11,objective,,,,The value of bamidele authorized share capital is?,"N160,000,000","N100,000,000","N65,000,000","N40,000,000",A,https://myschool.ng/classroom/commerce/49036?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,12,objective,,,,Which of the following aids to trade is used to stimulate demand for goods,banking,transport,insurance,advertising,D,https://myschool.ng/classroom/commerce/49038?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,13,objective,,,,The term consumer sovereignty means that?,seller is the king,product is supreme,buyer is the king,producer is the king,C,https://myschool.ng/classroom/commerce/49040?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,14,objective,,,,Which of the following activities is classified under extractive industry?,exploration of minerals,construction of roads,canning of tomatoes purees,assembling of cars,A,https://myschool.ng/classroom/commerce/49042?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,15,comprehension,,"BXY Enterprise has the following balance at the end of march 2010opening stockD6,000purchasesD23,000salaries and wagesD12,000closing stockD8,000salesD30,000 Use the information above to answer the following question.",,calculate the gross profit by BYX Enterprise,"D13,000","D9,000","D5,000","D1,000",B,https://myschool.ng/classroom/commerce/49050?exam_type=waec&exam_year=2015&type=obj&page=3
2015,4,16,comprehension,,"BXY Enterprise has the following balance at the end of march 2010opening stockD6,000purchasesD23,000salaries and wagesD12,000closing stockD8,000salesD30,000 Use the information above to answer the following question.",,what is the rate of turnover by BYX Enterprise,5.0 times,3.5 times,3.0 times,1.5 times,C,https://myschool.ng/classroom/commerce/49052?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,17,comprehension,,"BXY Enterprise has the following balance at the end of march 2010opening stockD6,000purchasesD23,000salaries and wagesD12,000closing stockD8,000salesD30,000 Use the information above to answer the following question.",,which of the following workers is engaged in construction occupation,mason,shop assistant,farmer,train driver,A,https://myschool.ng/classroom/commerce/49053?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,18,comprehension,,"BXY Enterprise has the following balance at the end of march 2010opening stockD6,000purchasesD23,000salaries and wagesD12,000closing stockD8,000salesD30,000 Use the information above to answer the following question.",,A cheque which the bank refused to pay because the drawer had insufficient funds in his account is?,a bounced cheque,a bearer cheque,a crossed cheque,an order cheque,A,https://myschool.ng/classroom/commerce/49055?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,19,comprehension,,"BXY Enterprise has the following balance at the end of march 2010opening stockD6,000purchasesD23,000salaries and wagesD12,000closing stockD8,000salesD30,000 Use the information above to answer the following question.",,which of the following is a function of the retailer to the wholesaler,providing after sales services,providing information on market trends,sales of variety of goods,sales of goods in smaller quantities,B,https://myschool.ng/classroom/commerce/49056?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,20,comprehension,,"BXY Enterprise has the following balance at the end of march 2010opening stockD6,000purchasesD23,000salaries and wagesD12,000closing stockD8,000salesD30,000 Use the information above to answer the following question.",,The term utmost good faith in insurance means?,both the insured and insurer must disclose all information,only the insurer must disclose all information,the beneficiary must disclose all information,only the insured must disclose all information,A,https://myschool.ng/classroom/commerce/49058?exam_type=waec&exam_year=2015&type=obj&page=4
2015,5,21,objective,,,,Which of the following business units enjoys government subsidies,private limited company,limited partnership,public limited company,public enterprises,D,https://myschool.ng/classroom/commerce/49060?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,22,objective,,,,Duty drawback refers to duties paid on?,exported goods produced with local content,re-exported goods previously imported,imported goods for sale locally,locally manufactured goods for sale locally,B,https://myschool.ng/classroom/commerce/49062?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,23,objective,,,,The capital used in the day to day running of a business is?,nominal capital,working capital,paid up capital,authorized capital,B,https://myschool.ng/classroom/commerce/49063?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,24,objective,,,,Which of the following is classified under current assets,machinery,motor vehicle,stock,fittings,C,https://myschool.ng/classroom/commerce/49064?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,25,objective,,,,The reduction in the value of a country's currency in relation to others is?,re denomination,devaluation,inflation,deflation,B,https://myschool.ng/classroom/commerce/49065?exam_type=waec&exam_year=2015&type=obj&page=5
2015,6,26,objective,,,,which of the following is an aspect of marketing concept,product differentiation,sales orientation,consumer orientation,price differentiation,A,https://myschool.ng/classroom/commerce/49066?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,27,objective,,,,Retail outlets which sell from specialized vans are called?,super market,multiple shops,mail order,mobile shop,D,https://myschool.ng/classroom/commerce/49067?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,28,objective,,,,the practice of selling goods in foreign markets at a price lower than the cost price is?,fair trading,under invoicing,hedging,dumping,D,https://myschool.ng/classroom/commerce/49069?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,29,objective,,,,A cheque made payable to a named person is?,a crossed cheque,a certified cheque,an order cheque,a confirmed cheque,C,https://myschool.ng/classroom/commerce/49070?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,30,objective,,,,a house insured against damage by flood was burnt down and the owner had no claim. which of the following principles prevented him from making a claim,indemnity,contribution,insurable interest,proximate cause,D,https://myschool.ng/classroom/commerce/49072?exam_type=waec&exam_year=2015&type=obj&page=6
2015,7,31,objective,,,,the market for short term security is called?,commodity market,discount market,money market,stock market,C,https://myschool.ng/classroom/commerce/49074?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,32,objective,,,,which of the following principls stipulates that the insured must be in a position to suffer financial loss?,indemnity,proximate clause,insurable interest,subrogation,C,https://myschool.ng/classroom/commerce/49075?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,33,objective,,,,when shares are sold **ex** - **div** it means the?,shares are sold at par price,buyer is entitle to the next dividend,shares are sold above par,seller has right to the next dividend,D,https://myschool.ng/classroom/commerce/49077?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,34,objective,,,,turnover could be increased by,increasing prices and product differentiation,advertising and cutting prices,refusing credit and customer services,increasing the mark up and margin,B,https://myschool.ng/classroom/commerce/49078?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,35,objective,,,,commerce started as a result of?,speculation,consumption,specialization,nationalization,B,https://myschool.ng/classroom/commerce/49080?exam_type=waec&exam_year=2015&type=obj&page=7
2015,8,36,objective,,,,which of the following is used for making payments to many people in a single cheque,debit transfer,certified cheque,bank draft,credit transfer,C,https://myschool.ng/classroom/commerce/49084?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,37,objective,,,,equity interest in a company is represented by?,preference shares,dividend,debenture,ordinary shares,D,https://myschool.ng/classroom/commerce/49086?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,38,objective,,,,"when two insurers are liable under a given common policy, the principle of insurance that applies is?",indemnity,subrogation,proximate clause,contribution,D,https://myschool.ng/classroom/commerce/49088?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,39,objective,,,,All activities aimed at creation of a good image for an organisation are referred to as,market segmentation,market research,public relation,consumer orientation,C,https://myschool.ng/classroom/commerce/49092?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,40,objective,,,,which of the following is a disadvantage of foreign trade,it encourages dumping,it widens the world market,it encourages specialization,it provides varieties of goods,A,https://myschool.ng/classroom/commerce/49097?exam_type=waec&exam_year=2015&type=obj&page=8
2015,9,41,objective,,,,the study to discover consumers' preference and needs is called,market segmentation,consumer orientation,market research,market mix,C,https://myschool.ng/classroom/commerce/49100?exam_type=waec&exam_year=2015&type=obj&page=9
2015,9,42,objective,,,,a private limited liability company differs from a public limited liability because it,does not issue its shares to the public,as a separate entity,has many directors,is a going concern,A,https://myschool.ng/classroom/commerce/49102?exam_type=waec&exam_year=2015&type=obj&page=9
2015,9,43,objective,,,,which of the following is a disadvantage of retailing,selling on credit,lower prices of goods,selling in smaller quantities,located at convenient places,A,https://myschool.ng/classroom/commerce/49103?exam_type=waec&exam_year=2015&type=obj&page=9
2015,9,44,objective,,,,A tax charged in proportion to the value of imported goods is?,specific duty,ad valorem,custom duty,excise duty,B,https://myschool.ng/classroom/commerce/49104?exam_type=waec&exam_year=2015&type=obj&page=9
2015,9,45,objective,,,,which of the following is a reason for failure of public corporations,legal requirement,inadequate funding,political stability,lack of competion,B,https://myschool.ng/classroom/commerce/49105?exam_type=waec&exam_year=2015&type=obj&page=9
2015,10,46,objective,,,,which of the following is a document of title of goods,bill of exchange,bill of entry,letter of hypothecation,bill of lading,D,https://myschool.ng/classroom/commerce/49106?exam_type=waec&exam_year=2015&type=obj&page=10
2015,10,47,objective,,,,the fee paid for transporting goods by ship is,fare,freight,demurrage,charges,B,https://myschool.ng/classroom/commerce/49107?exam_type=waec&exam_year=2015&type=obj&page=10
