Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2016,1,1,objective,,,,''Let there be light: and there was light'' This statement reveals God's,graciousness,sovereignty,omnipottence,omnipresence,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/46269?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,2,objective,,,,Joseph's dreams were meant to,depict God's will,Reveal Joseph's future,reveal God's sovereignty,save Egypt from famine,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/46270?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,3,objective,,,,Pharaoh's fear for the growth and might of Israel made him to,drive the Israelites out of Egypt,afflict the Israelites with heavy burden,drown Israelites babies in the Nile,punish the Israelites with starvation,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/46271?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,4,objective,,,,"And he said, ''Cast it on the ground', This instruction was meant to",convince Pharaoh to harden his heart,showcase God's mighty power,rescue the Jews from bondage,change the snake into rod,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/46272?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,5,objective,,,,The discovery of pomegranate and figs at Eschol gave the Spies sent by Moses,strength,hope,disappointment,fear,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/46273?exam_type=waec&exam_year=2016&type=obj&page=1
2016,2,6,objective,,,,Joshua was chosen to succeed Moses because,Moses was very old,had now rejected Moses,Moses was asked for a successor,God's spirit was with Joshua,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/46274?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,7,theory,,,,Deborah was described as a judge because she,predicted the fall of Jabin,rescued Israel by killing Sisera,prophesied that a woman would kill Sisera,fought to free Israel from Canaanite domination,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/46275?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,8,objective,,,,"In his preparation for the battel against Sisera, Barak chose his troops from the tribe of",Judah and Issachar,Zebulun and Naphtali,Dan and Benjamin,Gad and Asther,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/46276?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,9,objective,,,,''Yet his sons did not walk in his ways but turned aside ajier gains'' The ''sons'' were,Jonathan and Abinadab,Hophni and Phinehas,Joab and Asahel,Joel and Abijah,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/46277?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,10,objective,,,,David said at Ziph that Saul would one day die by one of the following means except.,Being smitten by God,dying a natural death,perishing in a battle,taking his own life,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/46278?exam_type=waec&exam_year=2016&type=obj&page=2
2016,3,11,objective,,,,The people of Jabesh Gilead honoured Saul by,protecting his family from destruction,fighting in the Gilboa war,paying all their tributes regularly,giving him a befitting burial,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/46279?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,12,objective,,,,"Solomon's treaty with Hiram, King of Tyre was meant to",protect Israel when at war,Build Pithan and store cities,help build the temple,help establish trade links,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/46280?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,13,objective,,,,The religious tension at the time of Ahab was a result of,Ahab's marriage to Jezebel,Jezebel's social injustices,Jezebel's introduction of baa 1,Elijah's pronouncement of drought,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/46281?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,14,objective,,,,''The Lord forbid that I should give you the inheritance of my lathers ''This statement implies that Israelites,do not sell inherited property as a gift,inherited property cannot be mortgaged,do not sell inherited property,forbid land transfer of Josiah?,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/46282?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,15,objective,,,,Which of the following personalitiesnwitnessed the reforms of Josiah?,Hilkiah,Isaiah,Ezekiel,Ezra,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/46283?exam_type=waec&exam_year=2016&type=obj&page=3
2016,4,16,objective,,,,Ahab and Gehazi demonstrated the spirit of,apostasy,selfishness,greed,treachery,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/46284?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,17,objective,,,,When Nehemiah heard of the poor state of affairs in Judah he immediately,left to build Jerusalem,became sad and fasted,took up arms to fight,mobilized resources for reconstruction,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/46285?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,18,objective,,,,King Darius asked men to fear the God of Daniel because he,the living God,the most Supreme,gracious and Holy,a loving God,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/46286?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,19,objective,,,,"To Amos, Israel's expectation of the Day 01 the Lord'' would be a day of",happiness,punishment,Rejection,Forgiveness,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/46287?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,20,objective,,,,Amaziah warned Amos never to prophesy at Bethel again because,it was the King's sanctuary,It showed disrespect to God,Israel easily broke the sabbath laws,Amos belonged to the prohetic guild,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/46288?exam_type=waec&exam_year=2016&type=obj&page=4
2016,5,21,objective,,,,The prophet whose occupation was the dressing of sycamore trees was,Ezekiel,Hosea,Jeremiah,Amos,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/46289?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,22,objective,,,,"In the teaching of Hosea, Gomer typifies",Canaan,Israel,Judah,Assyria,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/46290?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,23,objective,,,,"To Hosea, Yahwel was a God of",righteousness and Justice,love and mercy,peace and justice,purity and righteousness,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/46291?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,24,objective,,,,The statement ''this is my beloved son with whom I am well pleased' was heard during Jesus,temptation,trial,crucifixion,baptism,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/46292?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,25,objective,,,,''Let it be so now for thus it is fitting for us to fulfil all righteousness'' ''The righteous act to be fulfilled referred to Jesus',baptism,Temptation,transfiguration,crucifixion,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/46293?exam_type=waec&exam_year=2016&type=obj&page=5
2016,6,26,objective,,,,"To be recognized as an economic messiah, the devil tempted Jesus to",accept the riches of the world,jump down from the temple pinnacle,bow down and worship him,change stones into bread and eat,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/46294?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,27,objective,,,,What happened immediately the devil left Jesus after tempting Him?,The satanic Kingdom was overthrown,The disciples came to strengthen Jesus,God rejoiced and elevated Jesus,Angels came and ministered to him,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/46295?exam_type=waec&exam_year=2016&type=obj&page=6
