Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2020,1,1,general,,,,Which of the following is central to the definition of Economics?,resources,wants,scarcity,capital,C,https://myschool.ng/classroom/economics/58138?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,2,general,,,,"When the production possibility curve shifts outwards, the economy experiences",growth,over-production,inefficient use of resources,under-production,A,https://myschool.ng/classroom/economics/58141?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,3,general,,,,Land as a factor of production is made useful through the,application of human effort,acts of nature,application of fertilizer,use of machines,A,https://myschool.ng/classroom/economics/58142?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,4,microeconomics,,,,"In a free market economy, resources are allocated through the",government department,price mechanisms,trade union,state planning committee.,B,https://myschool.ng/classroom/economics/58145?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,5,microeconomics,,,https://scontent.xx.fbcdn.net/v/t1.15752-9/p206x206/225834734_1009695049845393_3603217939163250201_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=aee45a&_nc_eui2=AeGZApWKCOlalB6-sct1_xcr9oDomfmeTC32gOiZ-Z5MLRvGfKVX3HlvhNxQZq5tjs-GuZptekSq2xXC2tJEdhSR&_nc_ohc=MlMFgsRQULEAX9ja2Lb&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=504cbe285b64ff0f905b6c220a5104df&oe=612FE100,Use the figure below to answer question that follows What does the diagram above depict,simple bar chart,complex bar chart,component bar chart,,C,https://myschool.ng/classroom/economics/58189?exam_type=waec&exam_year=2020&type=obj&page=1
2020,2,6,microeconomics,,,https://myschool.ng/storage/classroom/L4L7ldQictIxXh8VaeSgX3vmSOHo2DkVl4lSc6tp.jpeg,The figure above shows the change in demand for Commodity X which is a normal good. Use it to answer the question that follows. Which of the following caused the change in demand from D\(_{1}\) D\(_{1}\) to D\(_{2}\)D\(_{2}\),Fall in the income of consumers,Rise in the price of a substitute,Rise in the price of a complement,Fall in the supply of commodity X,B,https://myschool.ng/classroom/economics/58194?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,7,microeconomics,,,https://scontent.xx.fbcdn.net/v/t1.15752-9/p206x206/226895202_4073262026124580_139045539718717275_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=aee45a&_nc_eui2=AeFG6GbR2WU1yUCNEgdToOKz98z3lgjIa8D3zPeWCMhrwCJRlG8sJAqtDZl2O2V2sKj5PhegDdllz3tRkFZB1jLD&_nc_ohc=5XL-z-WrrH8AX-J5Kbf&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=0e0033c76be46e7494a801835ed8eee3&oe=61303564,Use the figure below to answer the question that follows The curves D\(_{0}\)D\(_{0}\) and S\(_{0}\)S\(_{0}\) are the initial demand and supply curves respectively. What happens when government provides subsidies to producers?,The supply curve will shift from S\(_{0}\)S\(_{2}\) to S\(_{2}\)S\(_{0}\),The supply curve will shift from S\(_{0}\)S\(_{0}\) to S\(_{1}\)S\(_{1}\),The demand curve will shift from D\(_{0}\)D\(_{0}\) to D\(_{1}\)D\(_{1}\),The supply curve will shift from S\(_{0}\)S\(_{0}\) to S\(_{0}\)S\(_{0}\),B,https://myschool.ng/classroom/economics/58204?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,8,microeconomics,,,https://myschool.ng/storage/classroom/3MFMcWuwzF1ZfQSBMZPzzICsja2ghdzKQpi8fZwq.png,"In the figure above, YZ represents",excess demand,excess supply,equilibrium quantity,equilibrium price,B,https://myschool.ng/classroom/economics/58210?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,9,theory,,,,Goods are described as inferior if their demand,decreases as price falls,increases as income rises,decreases as income increases,increases as price increases,C,https://myschool.ng/classroom/economics/58213?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,10,microeconomics,,,,A consumer is in equilibrium when,his market Supply is equal to his market demand,he maximizes his satisfaction from spending his income,the market is also in equilibrium,he has consumed all he wants,B,https://myschool.ng/classroom/economics/58234?exam_type=waec&exam_year=2020&type=obj&page=2
2020,3,11,microeconomics,,,,Goods that are abundant in supply usually have low,total utility,marginal utility,average utility,time utility,B,https://myschool.ng/classroom/economics/58236?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,12,microeconomics,,,,"If an increase in the price of crude oil led to an increase in the prices of kerosene and grease, then kerosene and grease are in",joint supply,competitive supply,market Supply,composite supply,A,https://myschool.ng/classroom/economics/58243?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,13,microeconomics,,,,"If an increase in the supply of beef increased the supply of hides, then beef and hides are in",competitive supply,joint supply.,composite supply,joint demand,B,https://myschool.ng/classroom/economics/58260?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,14,microeconomics,,,,An increase in supply means that,more is sold at different prices,more is sold at the same price,there is a leftward shift of the supply curve,there is a movement along the supply curve,B,https://myschool.ng/classroom/economics/58264?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,15,calculation,,,,A seller increased the quantity he offered for sale from 200 units to 250 units when the price of his product increased by 12.5%. What is the price elasticity of the supply of his product?,2.00,1.50,1.00,0.50,A,https://myschool.ng/classroom/economics/58271?exam_type=waec&exam_year=2020&type=obj&page=3
2020,4,16,microeconomics,,,,"If a beef market is in equilibrium at $4.00 per kg, an increase in price to $6.00 per kg may cause",surplus in the market,shortage in the in market,black market to come into operation,rationing to be introduced,A,https://myschool.ng/classroom/economics/58287?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,17,microeconomics,,,,A large firm may experience diseconomies of scale if there is,difficulty in coordinating decisions,division of labor in production,employment of more specialist,decrease in the cost of production,A,https://myschool.ng/classroom/economics/58290?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,18,general,,,,Increasing returns to scale suggests that,a firm can make a profit by reducing output,a firm can make more profit by increasing output,"as the producer reduces the quantity of raw materials used, the marginal product will double","as the producer increases the quantity of raw materials used, the marginal product will fall",B,https://myschool.ng/classroom/economics/58291?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,19,microeconomics,,,,One feature of the average fixed cost is that it,falls continuously but is never equal to zero.,is U-shaped and intersects the Y-axis,rises and falls faster than the marginal cost,is always higher than the average variable cost,A,https://myschool.ng/classroom/economics/58294?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,20,microeconomics,,,,"If the average fixed cost (AFC) of producing 5 bags of rice is $20.00, the average fixed cost of producing 10 bags will be",$2.00,$4.00,$10.00,$20.00,C,https://myschool.ng/classroom/economics/58295?exam_type=waec&exam_year=2020&type=obj&page=4
2020,5,21,calculation,,,,The table below shows the total revenue schedule of a firm. Use the information to answer the question that follows Output (units)5060708090Total revenue (TR) $85102119136153 What is the unit price of the firm's output,$10.00,$2.70,$2.00,$1.70,D,https://myschool.ng/classroom/economics/58297?exam_type=waec&exam_year=2020&type=obj&page=5
2020,5,22,calculation,,,,The table below shows the total revenue schedule of a firm. Use the information to answer the question that follows Output (units)5060708090Total revenue (TR) $85102119136153 What is the firm's marginal revenue?,$153.00,$17.00,$1.70,$O.80,C,https://myschool.ng/classroom/economics/58299?exam_type=waec&exam_year=2020&type=obj&page=5
2020,5,23,general,,,,Organization and entrepreneurship are vested in diferrent persons in a,cooperative society,sole proprietorship,partnership,public company.,D,https://myschool.ng/classroom/economics/58301?exam_type=waec&exam_year=2020&type=obj&page=5
2020,5,24,general,,,,The public sector in a mixed economy is not always because of,bureaucratic practice,the desire to make huge change,the activities of shareholders,,A,https://myschool.ng/classroom/economics/58313?exam_type=waec&exam_year=2020&type=obj&page=5
