Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2024,1,1,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,Which of the following gases could be collected by downward displacement of air?,Chlorine,Hydrogen,hydrogen chloride,Sulphur(IV) oxide,B,https://myschool.ng/classroom/chemistry/72167?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,2,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,Which of the following substances has the **lowest** boiling point?,Aqueous sodium chloride,Ethanol,Tetrachloromethane,Water,C,https://myschool.ng/classroom/chemistry/72168?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,3,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The branch of science that deals with the nature and properties of substances and how one substance can be converted to another is known as,biology,chemistry,geography,physics,B,https://myschool.ng/classroom/chemistry/72169?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,4,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The electron configuration 1S\(^2\) 2S\(^2\) 2P\(_x\)\(^2\) contravenes the,Pauli's exclusion principle,Aufbau's principle,octet rule,Hund's rule,D,https://myschool.ng/classroom/chemistry/72170?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,5,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The oxidation number of Chromium in Na\(_2\)Cr\(_2\)O\(_7\) is,+2,+6,+7,+12,B,https://myschool.ng/classroom/chemistry/72171?exam_type=waec&exam_year=2024&type=obj&page=1
2024,2,6,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,The most important ore of aluminium is,bauxite,haematite,magnetite,monazite,A,https://myschool.ng/classroom/chemistry/72172?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,7,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,Bases normally,are corrosive,turn litmus paper from blue to red,turn litmus paper from red to blue,are non-metal oxides,C,https://myschool.ng/classroom/chemistry/72173?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,8,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,The product formed when concentrated sodium chloride solution is electrolysed using carbon electrodes is,chloride water,hydrochloric acid,sodium hydroxide,sodium oxochlorate (I),C,https://myschool.ng/classroom/chemistry/72174?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,9,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,The product of the reaction between ethanol and excess acidified K\(_2\)Cr\(_2\)O\(_7\) is,CH\(_2\)=CH\(_2\),CH\(_3\)OCH\(_3\),CH\(_3\)COOH,CH\(_3\)CH\(_3\),C,https://myschool.ng/classroom/chemistry/72175?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,10,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,Which of the following statements about ammonium salt is correct? It,dissolves in water to form solution of pH > 1,dissolves in water to form solution of pH < 7,does not decompose on heating,is insoluble in water,B,https://myschool.ng/classroom/chemistry/72176?exam_type=waec&exam_year=2024&type=obj&page=2
