Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2016,1,1,objective,,,,...... refers to the structure of a work of art.,form,Plot,Setting,Style,B,https://myschool.ng/classroom/literature-in-english/45101?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,2,objective,,,,Conflict in a literary work begins to unfold with,climax,episode,exposition,resolution,A,https://myschool.ng/classroom/literature-in-english/45102?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,3,objective,,,,The character assumed by the author in his writing is,protagonist,chorus,persona,pseudonym,C,https://myschool.ng/classroom/literature-in-english/45104?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,4,objective,,,,Oral literature is part of,drama,folklore,poetry,music,B,https://myschool.ng/classroom/literature-in-english/45105?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,5,objective,,,,Poetry is written in,chapters,paragraphs,scenes,lines,D,https://myschool.ng/classroom/literature-in-english/45106?exam_type=waec&exam_year=2016&type=obj&page=1
2016,2,6,objective,,,,Poetry is written in,chapters,lines,paragraphs,scenes,B,https://myschool.ng/classroom/literature-in-english/45107?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,7,objective,,,,The ....... produces comic relief in drama,chorus,protagonist,antagonist,clown,D,https://myschool.ng/classroom/literature-in-english/45108?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,8,objective,,,,A short play is also called a,farce,novelette,playlet,slapstick,C,https://myschool.ng/classroom/literature-in-english/45109?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,9,objective,,,,The rhyme scheme is,abab,aaba,abcc,abbc,A,https://myschool.ng/classroom/literature-in-english/45110?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,10,objective,,,,The lines are iambic,pentameter,trimeter,tetrameter,hexameter,C,https://myschool.ng/classroom/literature-in-english/45111?exam_type=waec&exam_year=2016&type=obj&page=2
2016,3,11,objective,,,,The lines constitute,an epic,a quatrain,an ode,a sestet,B,https://myschool.ng/classroom/literature-in-english/45112?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,12,objective,,,,''The sun smiled gently on the scene'' illustrates,paradox,euphemism,hyperbole,personification,D,https://myschool.ng/classroom/literature-in-english/45113?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,13,objective,,,,The major part of the Petrarch sonnet is the,quintet,sestet,tercet,octave,D,https://myschool.ng/classroom/literature-in-english/45114?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,14,objective,,,,"A Poem that celebrates an object, person or event is",a sonnet,a dirge,an ode,a balled,C,https://myschool.ng/classroom/literature-in-english/45115?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,15,objective,,,,''That it will rain is not unlike'' illustrates the use of,irony,lilotes,metaphor,metonymy,B,https://myschool.ng/classroom/literature-in-english/45116?exam_type=waec&exam_year=2016&type=obj&page=3
2016,4,16,biblical-reference,,,,An...... is an indirect and usually unfavourable remark,allusion,irony,aside,innuendo,D,https://myschool.ng/classroom/literature-in-english/45117?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,17,objective,,,,'Many hands make light work' illustrates the use of,zeugma,hyperbole,metonymy,synecdoche,D,https://myschool.ng/classroom/literature-in-english/45118?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,18,objective,,,,Through ........ the ills of society are criticised with the objective of having them corrected,dramatic irony,comic relief,satire,farce,C,https://myschool.ng/classroom/literature-in-english/45119?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,19,passage-based,,,,Read the following lines to answer this question The livid waters roared and snarled and flapped At the poor battered and weeping yacht. The dominant device used in the lines is,simile,alliteration,assonance,personification,D,https://myschool.ng/classroom/literature-in-english/45120?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,20,passage-based,,,,Read the following lines to answer this question The livid waters roared and snarled and flapped At the poor battered and weeping yacht. The picture presented is one of,quiet sea,dark sky,stormy weather,calm season,C,https://myschool.ng/classroom/literature-in-english/45121?exam_type=waec&exam_year=2016&type=obj&page=4
2016,5,21,objective,,,,The attitude of the writer towards the President is one of,contempt,disdain,disinterest,approval,C,https://myschool.ng/classroom/literature-in-english/45122?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,22,objective,,,,The prevailing atmosphere is,tense,sad,cordial,warm,A,https://myschool.ng/classroom/literature-in-english/45123?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,23,objective,,,,The expression ''plastered on each of their face like a death mask'' illustrates.,alliteration and metaphor,simile and personification,personification and alliteration,metaphor and simile,D,https://myschool.ng/classroom/literature-in-english/45124?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,24,objective,,,,''......... screaming anger'' is an example of,allusion,personjfication,simile,"euphei,,,,,ism",B,https://myschool.ng/classroom/literature-in-english/45125?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,25,objective,,,,The last paragraph illustrates,foreshadow,pathos,bathos,climax,D,https://myschool.ng/classroom/literature-in-english/45126?exam_type=waec&exam_year=2016&type=obj&page=5
2016,6,26,objective,,,,The theme of the poem is,indecision,separation,rejected love,requited love,D,https://myschool.ng/classroom/literature-in-english/45127?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,27,objective,,,,The speaker is,decisive,frustrated,disappointed,angry,A,https://myschool.ng/classroom/literature-in-english/45128?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,28,objective,,,,The dominant literary device used in the poem is,paradox,parody,metaphor,oxymoron,C,https://myschool.ng/classroom/literature-in-english/45129?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,29,objective,,,,The mood of the poem is,jubilant,sad,gloomy,romantic,D,https://myschool.ng/classroom/literature-in-english/45130?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,30,theory,,,,The poem can be described as,an epitaph,a lyric,a lullaby,an elegy,B,https://myschool.ng/classroom/literature-in-english/45131?exam_type=waec&exam_year=2016&type=obj&page=6
2016,7,31,objective,,,,The speaker is,Othello,Duke,Brabantio,lago,C,https://myschool.ng/classroom/literature-in-english/45132?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,32,objective,,,,The speaker is addressing,Cassio,Brabantio,Roderigo,Othello,D,https://myschool.ng/classroom/literature-in-english/45133?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,33,objective,,,,''Sooty bosom'' is a metaphor for,a black coat,Othello,a breastplate,lago,B,https://myschool.ng/classroom/literature-in-english/45134?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,34,objective,,,,''Run from her guardege'' refers to,Emilia,Desdemona,Bianca,Cassio's mistress,B,https://myschool.ng/classroom/literature-in-english/45135?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,35,objective,,,,The setting is,another street outside the Sagittary,a council chamber,a seaport in Cyprus,the citadel,B,https://myschool.ng/classroom/literature-in-english/45136?exam_type=waec&exam_year=2016&type=obj&page=7
2016,8,36,objective,,,,The speaker is,Brabantio,Cassio,Gratiano,lago,D,https://myschool.ng/classroom/literature-in-english/45137?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,37,objective,,,,The addressee is,Othello,Duke,Roderigo,Montano,C,https://myschool.ng/classroom/literature-in-english/45138?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,38,objective,,,,What has happened to the speaker?,He has been fined,He has fallen out of favour,He has been denied promotion,He has lost his job,C,https://myschool.ng/classroom/literature-in-english/45139?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,39,objective,,,,The underlined expression shows that the speaker is,jovial,insincere,polite,unfriendly,B,https://myschool.ng/classroom/literature-in-english/45140?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,40,objective,,,,The setting is,a street in Venice,a street in Cyprus,outside the citadel,a court before the citadel,B,https://myschool.ng/classroom/literature-in-english/45141?exam_type=waec&exam_year=2016&type=obj&page=8
2016,9,41,objective,,,,The speaker is addressing,Cassio,Duke,herself,himself,D,https://myschool.ng/classroom/literature-in-english/45142?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,42,objective,,,,The speaker is,Othello,lago,Lodovico,Bianca,B,https://myschool.ng/classroom/literature-in-english/45143?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,43,objective,,,,"Just before this speech,",Othello falls into a trance,Bianca flings a handkerchief at Cassio,Montano fights with Cassio,Roderigo is killed,A,https://myschool.ng/classroom/literature-in-english/45144?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,44,objective,,,,''medicine'' in the extract refers to the speaker's,hatred,passion,lies,loyalty,C,https://myschool.ng/classroom/literature-in-english/45145?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,45,objective,,,,The character that enters immediately after is,lago,Emilia,Othello,Cassio,A,https://myschool.ng/classroom/literature-in-english/45146?exam_type=waec&exam_year=2016&type=obj&page=9
2016,10,46,objective,,,,The speaker is,Bianca,Emilia,Clown,Desdemona,B,https://myschool.ng/classroom/literature-in-english/45148?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,47,objective,,,,The characters that just left the scene are,Othello and lago,Montano and Cassio,Othello and Desdemona,Grantiano and Desdemona,A,https://myschool.ng/classroom/literature-in-english/45149?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,48,objective,,,,'She' in the extract refers to,Bianca,Desdemona,Emilia,Musician,B,https://myschool.ng/classroom/literature-in-english/45150?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,49,objective,,,,'My wayward husband' refers to,Othello,lago,Cassio,Roderigo,B,https://myschool.ng/classroom/literature-in-english/45151?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,50,objective,,,,In the extract ''this napkin'' is ''the token'' of love between,lago and Emilia,Cassio and Desdemona,Bianca and Cassio,Desdemona and Othello,D,https://myschool.ng/classroom/literature-in-english/45152?exam_type=waec&exam_year=2016&type=obj&page=10
