Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2022,1,1,objective,,,,A novel that features spiritual apparitions as major character is,Epistolary,Gothic,Historical,Socialogical,B,https://myschool.ng/classroom/literature-in-english/65947?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,2,objective,,,,The literary term describing individuals in a work of literature is,characters,protagonist,narrator,villain,A,https://myschool.ng/classroom/literature-in-english/65948?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,3,passage-based,,Several hands stretched out for free meals at the refugee camp,,*Several hands stretched out for free meals at the refugee camp* illustrates,Antithesis,Euphemism,Litotes,Synecdoche,D,https://myschool.ng/classroom/literature-in-english/65954?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,4,objective,,,,A short play performed between the acts of a bigger play for entertainment is,an in media res,an interlude,an incantation,a deux ex machina,B,https://myschool.ng/classroom/literature-in-english/65955?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,5,objective,,,,"In literature, the two components of diction are",sentence construction and punctuation,vocabulary and punctuation,syntax and sentence construction,vocabulary and syntax,D,https://myschool.ng/classroom/literature-in-english/65957?exam_type=waec&exam_year=2022&type=obj&page=1
2022,2,6,objective,,,,A story with elements that have both literal and figurative meanings is,an allegory,a fable,a novella,an epistle,A,https://myschool.ng/classroom/literature-in-english/65961?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,7,passage-based,,My bounty is as boundless as the sea my love as deep,,*My bounty is as boundless as the sea my love as deep* The above lines illustrate,apostrophe,epigram,hyperbole,euphemism,C,https://myschool.ng/classroom/literature-in-english/66014?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,8,objective,,,,"In drama, catharsis is the",change of setting,conflict between two characters,resolution of conflict,purgation of emotion from tension,D,https://myschool.ng/classroom/literature-in-english/66016?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,9,objective,,,,The poem is,allegoric,didactic,metaphysical,romantic,B,https://myschool.ng/classroom/literature-in-english/66019?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,10,objective,,,,The tone of the poet is,jocular,harsh,mournful,sombre,D,https://myschool.ng/classroom/literature-in-english/66021?exam_type=waec&exam_year=2022&type=obj&page=2
2022,3,11,objective,,,,Lines 3 and 4 illustrate,antithesis,oxymoron,anti-climax,metonymy,A,https://myschool.ng/classroom/literature-in-english/66057?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,12,objective,,,,A word or a phrase that is repeated at regular intervals in a poem or a play is a,dirge,refrain,lullaby,verse,B,https://myschool.ng/classroom/literature-in-english/66060?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,13,objective,,,,*The warriors conquered my men and my country* illustrates the use of,Paradox,Litotes,Parallelism,Zeugma,D,https://myschool.ng/classroom/literature-in-english/66062?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,14,objective,,,,Disguise in drama mostly portrays the theme of,known identity,plain identity,unknown identity,mistaken identity,D,https://myschool.ng/classroom/literature-in-english/66091?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,15,objective,,,,"Men swift to see things *done* , do not *run* their commanding. The words in italics exemplify",pun,end rhyme,internal rhyme,paradox,C,https://myschool.ng/classroom/literature-in-english/66097?exam_type=waec&exam_year=2022&type=obj&page=3
2022,4,16,objective,,,,An aside in drama is used mostly to create a sense of,admiration,conspiracy,greatness,superiority,B,https://myschool.ng/classroom/literature-in-english/66100?exam_type=waec&exam_year=2022&type=obj&page=4
2022,4,17,objective,,,,"*More haste, less speed* illustrates the use of",anaphora,paradox,litotes,synecdoche,B,https://myschool.ng/classroom/literature-in-english/66104?exam_type=waec&exam_year=2022&type=obj&page=4
2022,4,18,passage-based,,Poetry gets bored of being alone It wants to go outdoors to chew the winds.,,*Poetry gets bored of being aloneIt wants to go outdoors to chew the winds.* The mental picture evoked in the above lines is that of,smell and touch,sight and hearing,taste and touch,sight and taste,D,https://myschool.ng/classroom/literature-in-english/66110?exam_type=waec&exam_year=2022&type=obj&page=4
2022,4,19,objective,,,,A novel that recounts the adventures of a likeable rogue is,panegyric,gothic,picaresque,grotesque,C,https://myschool.ng/classroom/literature-in-english/66114?exam_type=waec&exam_year=2022&type=obj&page=4
2022,4,20,passage-based,,"At the fall of their house, the widow lost her husband, her sewing machine and her ear-rings",,"*At the fall of their house, the widow lost her husband, her sewing machine and her ear-rings* illustrates",bathos,epigram,pathos,oxymoron,A,https://myschool.ng/classroom/literature-in-english/66117?exam_type=waec&exam_year=2022&type=obj&page=4
2022,5,21,objective,,,,The narrative technique used is,1st person,Dialogue,3rd person,stream of consciousness,C,https://myschool.ng/classroom/literature-in-english/66122?exam_type=waec&exam_year=2022&type=obj&page=5
2022,5,22,objective,,,,The reference to *mountain* illustrates,allusion,irony,parallelism,antithesis,A,https://myschool.ng/classroom/literature-in-english/66126?exam_type=waec&exam_year=2022&type=obj&page=5
2022,5,23,passage-based,,,,The overall feeling evoked by the passage is one of,anger,empathy,love,relief,B,https://myschool.ng/classroom/literature-in-english/66133?exam_type=waec&exam_year=2022&type=obj&page=5
2022,5,24,objective,,,,*Flood waters met in a mocking kiss* illustrates,contrast,euphemism,personification,litotes,C,https://myschool.ng/classroom/literature-in-english/66145?exam_type=waec&exam_year=2022&type=obj&page=5
2022,5,25,objective,,,,The last sentence conveys the mood of,anxiety,despondency,excitement,nonchalance,B,https://myschool.ng/classroom/literature-in-english/66151?exam_type=waec&exam_year=2022&type=obj&page=5
2022,6,26,objective,,,,The main theme of the poem is,evil of lying,hopeless hope,message of peace,message of war,A,https://myschool.ng/classroom/literature-in-english/66156?exam_type=waec&exam_year=2022&type=obj&page=6
2022,6,27,objective,,,,The tone of the speaker shows,contentment,helplessness,patience,resilience,B,https://myschool.ng/classroom/literature-in-english/66159?exam_type=waec&exam_year=2022&type=obj&page=6
2022,6,28,passage-based,,,,Did your read our minds in your lies? exemplifies,personification,oxymoron,pathetic fallacy,rhetorical question,D,https://myschool.ng/classroom/literature-in-english/66168?exam_type=waec&exam_year=2022&type=obj&page=6
2022,6,29,objective,,,,"But they have soothed us calmly, your lies illustrate",paradox,irony,synecdoche,zeugma,B,https://myschool.ng/classroom/literature-in-english/66172?exam_type=waec&exam_year=2022&type=obj&page=6
2022,6,30,objective,,,,The last lines of both stanzas present,Negative but similar ideas,opposite ideas,Positive but opposite ideas,similar ideas,D,https://myschool.ng/classroom/literature-in-english/66174?exam_type=waec&exam_year=2022&type=obj&page=6
2022,7,31,objective,,,,Who is the speaker?,Demetrius,Egeus,Hermia,Theseus,D,https://myschool.ng/classroom/literature-in-english/66176?exam_type=waec&exam_year=2022&type=obj&page=7
2022,7,32,objective,,,,Philostrate is,Clown of Hippolyta,Duke's entertainer,Fairy king's cuckold,Rival of Puck,B,https://myschool.ng/classroom/literature-in-english/66179?exam_type=waec&exam_year=2022&type=obj&page=7
2022,7,33,objective,,,,The speaker's attitude towards melancholy is,adoration,dislike,intolerance,tolerance,C,https://myschool.ng/classroom/literature-in-english/66182?exam_type=waec&exam_year=2022&type=obj&page=7
2022,7,34,objective,,,,While the speaker is talking,Egeus departs,Flute arrives,the fairies sing,Philostrate departs,D,https://myschool.ng/classroom/literature-in-english/66184?exam_type=waec&exam_year=2022&type=obj&page=7
2022,7,35,objective,,,,"To win Hippolyta's love, the speaker",disowned his friends,had to fight against her,killed his father,sent Puck away,B,https://myschool.ng/classroom/literature-in-english/66188?exam_type=waec&exam_year=2022&type=obj&page=7
2022,8,36,objective,,,,Speakers X and Y are,Demetrious and Puck,Lysander and Demetrius,Hermia and Helen,Lysander and Puck,A,https://myschool.ng/classroom/literature-in-english/66192?exam_type=waec&exam_year=2022&type=obj&page=8
