Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2017,1,1,objective,,,,A praise poem is ____________,A Ballad,A Panegyric,An Allegory,An Epigram,B,https://myschool.ng/classroom/literature-in-english/49742?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,2,objective,,,,A literary work in which the characters are animals is a ____________,Lampoon,Fable,Parody,Pantomine,B,https://myschool.ng/classroom/literature-in-english/49745?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,3,objective,,,,A short single act drama is called____________,Opera,Allusion,Farce,Playlet,D,https://myschool.ng/classroom/literature-in-english/49747?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,4,objective,,,,"*Through the trees, I'll hear asingle* *Ringing sound, a cowbelljingle* The underlined is an example of____________ryhme",End,Feminine,Internal,Masculine,A,https://myschool.ng/classroom/literature-in-english/49751?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,5,passage-based,,"**Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings**",,"*Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings* The alliteration in stinks and stings effectively conveys__________-",Distaste,Admiration,Indifference,Approval,A,https://myschool.ng/classroom/literature-in-english/49754?exam_type=waec&exam_year=2017&type=obj&page=1
2017,2,6,passage-based,,"**Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings**",,"*Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings* The poets intention is to___________",Create Humor,Arouse sympathy,Create fun,Show Contempt,D,https://myschool.ng/classroom/literature-in-english/49755?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,7,passage-based,,"**Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings**",,"*Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings* The lines illustrates________",Blank Verse,End ryhme,Internal rhyme,Free Verse,D,https://myschool.ng/classroom/literature-in-english/49756?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,8,objective,,,,A play on words for literary effect is_________,A Paradox,A Pun,A Satire,An Elegy,B,https://myschool.ng/classroom/literature-in-english/49758?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,9,objective,,,,"""Its a matter of sad joy"" Iillustrates__________",Metonymy,Oxymoron,Euphemism,Irony,B,https://myschool.ng/classroom/literature-in-english/49759?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,10,objective,,,,The leading character in a literary work is the________,Foil,Villain,Antagonist,Protagonist,D,https://myschool.ng/classroom/literature-in-english/49760?exam_type=waec&exam_year=2017&type=obj&page=2
2017,3,11,objective,,,,A narrative poem that relates heroic exploits is an___________,Epilogue,Epitaph,Epic,Epigram,C,https://myschool.ng/classroom/literature-in-english/49825?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,12,objective,,,,Over the cobbles it clattered and crashed is an example of__________,Oxymoron,Pun,Onomatopoeia,Paradox,C,https://myschool.ng/classroom/literature-in-english/49828?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,13,objective,,,,An essential features of drama is___________,Soliloquy,Conflict,Irony,Aside,B,https://myschool.ng/classroom/literature-in-english/49830?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,14,objective,,,,"A humorous poem with five lines, the first two ryhming with the last is______________",An ode,Sestet,Octave,A Limerick,D,https://myschool.ng/classroom/literature-in-english/49833?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,15,passage-based,,,,"Death be not proud, though some have called thee might and dreadful is an example of___________",Euphemism,Metaphor,Apostrophe,Aliteration,C,https://myschool.ng/classroom/literature-in-english/49837?exam_type=waec&exam_year=2017&type=obj&page=3
2017,4,16,objective,,,,An essential part of the plot is____________,Characterization,Exposition,Atmosphere,Foreshadow,A,https://myschool.ng/classroom/literature-in-english/49839?exam_type=waec&exam_year=2017&type=obj&page=4
2017,4,17,objective,,,,The climax in a literary work is the_____________,Middle,Beginning,Central part of the dialogue,Peak of the conflict,D,https://myschool.ng/classroom/literature-in-english/49841?exam_type=waec&exam_year=2017&type=obj&page=4
2017,4,18,objective,,,,**Dramatis** **personae** is the same as ____________,Chorus,Prompter,Foil,Cast,D,https://myschool.ng/classroom/literature-in-english/49846?exam_type=waec&exam_year=2017&type=obj&page=4
