Year,Page,Question_Number,Question_Type,Instruction,Passage,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2022,1,1,objective,,,"In each of the following sentences, there is one underlined word and one gap. From the list of words lettered A-D, choose the one that is **most nearly opposite** in meaning to the underlined word and that will, at the same time correctly fill the gap in the sentence. Obi's family is known for their _audacity_ , so one is surprised at his ______",cowardice,irritabilty,moodiness,insolence,A,https://myschool.ng/classroom/english-language/63228?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,2,objective,,,"*Fron the options lettered A-D, choose the word(s) that is opposite in meaning to the word(s) underlined and that will, at the same time, most appropriately fill the gap in the sentence.* Bayo is _careless_ in his ways while Tayo is ________",lovable,meticulous,difficult,reserved,B,https://myschool.ng/classroom/english-language/63229?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,3,objective,,,"*From the words lettered A. to D below each of the following sentences, choose the word or group of words that ismost nearly opposite* **in meaning** *to the underlined word and that would appropriately fill the gap in the following sentence:* In this country, the law against armed robbery is _stringent_ whereas that against smoking in public places is.........",accurate,complex,lax,easy,C,https://myschool.ng/classroom/english-language/63230?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,4,objective,,,The purpose of education is not to..... but to facilitate progress,prevent,impede,stampede,restrain,B,https://myschool.ng/classroom/english-language/63232?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,5,objective,,,"These days, many people concentrate on _tempora_ l things to the detriment of the _______",tangible,durable,unchanging,spiritual,D,https://myschool.ng/classroom/english-language/63234?exam_type=waec&exam_year=2022&type=obj&page=1
2022,2,6,objective,,,"While your parents are ........ ., mine are _liberal_ in their views.",strict,intimidating,conservative,discerning,C,https://myschool.ng/classroom/english-language/63240?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,7,objective,,,FIll in the gap with the appropriate option in the sentence below: The judge expected _direct_ answers but the accused was ....,illusive,secretive,delusive,evasive,D,https://myschool.ng/classroom/english-language/63241?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,8,objective,,,"Select the option that is **most nearly opposite** in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Kofi is _generous_ , whereas his wife is",sparing,stingy,unkind,harsh,B,https://myschool.ng/classroom/english-language/63242?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,9,objective,,,"His manners are _uncouth_ , while his wife's are ___________.",clever,classic,refined,purified,C,https://myschool.ng/classroom/english-language/63244?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,10,objective,,,The peak of Mount Everest is about six miles from its _______,base,depth,Source,root,A,https://myschool.ng/classroom/english-language/63246?exam_type=waec&exam_year=2022&type=obj&page=2
2022,3,11,objective,,,The recent floods in some countries have _______ many lives,claimed,drowned,buried,injured,A,https://myschool.ng/classroom/english-language/63249?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,12,objective,,,He does not smoke so the gift of an ashtray will not be quite _________,admirable,applicable,appropriate,attractive,C,https://myschool.ng/classroom/english-language/63252?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,13,objective,,,The reviewer did an excellent job at the book ______,launch,premiere,session,briefing,A,https://myschool.ng/classroom/english-language/63253?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,14,objective,,,The governor filed an _______ against the ruling of the tribunal.,injunction,objection,application,appeal,D,https://myschool.ng/classroom/english-language/63256?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,15,objective,,,"At the terminus, all the passengers on the train will have to ________",alight,disembark,descend,dismount,B,https://myschool.ng/classroom/english-language/63257?exam_type=waec&exam_year=2022&type=obj&page=3
2022,4,16,objective,,,"Reading the ______ of the famous King, one would see that he had many things to hide",memoirs,chronicles,life,monument,A,https://myschool.ng/classroom/english-language/63259?exam_type=waec&exam_year=2022&type=obj&page=4
2022,4,17,objective,,,"The smaller boys had always drawn back in fear when the bully raised a fist, but this time they did not ________",advance,agree,retaliate,recoil,D,https://myschool.ng/classroom/english-language/63260?exam_type=waec&exam_year=2022&type=obj&page=4
2022,4,18,objective,,,The old man prayed for the ________ of his sins before he died.,omission,commission,permission,remission,D,https://myschool.ng/classroom/english-language/63261?exam_type=waec&exam_year=2022&type=obj&page=4
2022,4,19,objective,,,Inflation has caused the cost of goods to _________,escalate,ascend,intensify,progress,A,https://myschool.ng/classroom/english-language/63262?exam_type=waec&exam_year=2022&type=obj&page=4
