Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2020,1,1,objective,,,,"In modern democracy, a government is _________",a contrast between the rulers and the ruled,a preserve of the political party in power,monopoly of the ethnic group,alternation of power between the majority and minority tribes,A,https://myschool.ng/classroom/government/57781?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,2,objective,,,,The ability to make and enforce laws and administer justice constitute the major functions of a _________,nation,society,government,pressure group,C,https://myschool.ng/classroom/government/57783?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,3,objective,,,,Executive power in a cabinet system of government is vested in the ________,legislature,judiciary,civil service,council of ministers,D,https://myschool.ng/classroom/government/57786?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,4,objective,,,,A feature of a confederal state is that _______,it is a single sovereign state,its constitution is flexible,any unit can secede at will,its powers are distributed equally between the centre and units,C,https://myschool.ng/classroom/government/57790?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,5,objective,,,,One of the limitations to the principles of rule of law is _________,Immunity,equality,liberty,impartiality,A,https://myschool.ng/classroom/government/57791?exam_type=waec&exam_year=2020&type=obj&page=1
2020,2,6,objective,,,,Countries adopt the unitary system of government because it __________,detests dictatorship,promote national integration,concentrates power only at the centre,allows the component units to secede at will,B,https://myschool.ng/classroom/government/57793?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,7,objective,,,,Which of the following is an advantage of monocephalous executive ___________,sharing of power,quick decision making,impartial dispension of justice,enjoyment of press freedom,B,https://myschool.ng/classroom/government/57798?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,8,objective,,,,"A major difference between power and authority is that, authority is ________",scarcely exercised,more dependent on coercion,acquired popularly,exercised through force,C,https://myschool.ng/classroom/government/57802?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,9,objective,,,,Political participation can take the form of __________,belonging to a trade union,being a member of a pressure group,canvassing for votes,organizing festival for good harvest,C,https://myschool.ng/classroom/government/57810?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,10,objective,,,,Which of the following is a disadvantage of proportional representation?,encourages rigging,promotes strong government,makes for easy decision making in parliament,is difficult and cumbersome to operate,D,https://myschool.ng/classroom/government/57812?exam_type=waec&exam_year=2020&type=obj&page=2
2020,3,11,objective,,,,The sum total of authority in a state unrestrained by law is _______,monarchy,society,oligarchy,sovereign,C,https://myschool.ng/classroom/government/57814?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,12,constitution,,,,The flexibility and rigidity of the constitution refer to the __________,sources of constitution,making of constitution,ease of amending constitution,coding of constitution,C,https://myschool.ng/classroom/government/57819?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,13,objective,,,,The observance of Rule of Law in a state requires _________,an independent judiciary,an ineffective police system,a flexible constitution,existence of a two-party system,A,https://myschool.ng/classroom/government/57821?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,14,objective,,,,The principle of separating the judiciary from the other organs of government and making it free from executive and legislative influence is termed __________,judiciary,judicial review,separation of powers,fusions of powers,C,https://myschool.ng/classroom/government/57827?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,15,objective,,,,The right to respect the personality of the individual is a _________,civil right,natural right,social right,economic right,B,https://myschool.ng/classroom/government/57830?exam_type=waec&exam_year=2020&type=obj&page=3
2020,4,16,constitution,,,,Which of the following constitutional provisions gives a high degree of autonomy to component parts of a unitary state?,Devolution,Delegation,Divestiture,Declaration,A,https://myschool.ng/classroom/government/57833?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,17,objective,,,,The following are redresses available at the courts for aggrieved people except _________,injunction,mandamus,certiorari,prorogation,D,https://myschool.ng/classroom/government/57837?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,18,objective,,,,Which of the following usually leads to the curtailment of the rights of citizens?,transitional period,granting of presidential pardon,period of constitutional pardon,violent socio-political unrest,D,https://myschool.ng/classroom/government/57921?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,19,objective,,,,The national secretariat of a political party is managed by the ________,presidential candidate,funding members,national chairman and general secretary,national executive and youth organizer,C,https://myschool.ng/classroom/government/57926?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,20,objective,,,,The type of election which allows party members to elect candidates for elective offices is _________,general election,bye election,direct election,primary election,D,https://myschool.ng/classroom/government/57928?exam_type=waec&exam_year=2020&type=obj&page=4
2020,5,21,objective,,,,An opposition party which sees itself as ''government -in-waiting'' is called ______,shadow government,caretaker government,national government,responsible government,A,https://myschool.ng/classroom/government/57933?exam_type=waec&exam_year=2020&type=obj&page=5
2020,5,22,objective,,,,The document which sets out the programme of a political party and guides the electorate to vote for it is the ________,constitution,electoral register,manifesto,white paper,C,https://myschool.ng/classroom/government/57936?exam_type=waec&exam_year=2020&type=obj&page=5
2020,5,23,objective,,,,An advantage of a two-party system is that it __________,simplifies the electoral process,ensures winner takes all,protects the electoral commission,protects the electorate from votr buying,A,https://myschool.ng/classroom/government/57941?exam_type=waec&exam_year=2020&type=obj&page=5
2020,5,24,objective,,,,Which of the following is a non-partisan organisation with the aim of influencing government policies?,Political party,Pressure group,Humanitarian,Relief organization,B,https://myschool.ng/classroom/government/57945?exam_type=waec&exam_year=2020&type=obj&page=5
2020,5,25,objective,,,,The collective views held by majority of citizens of a country about a particular policy is _________,national interest,public opinion,commentary,bullentin,B,https://myschool.ng/classroom/government/57951?exam_type=waec&exam_year=2020&type=obj&page=5
2020,6,26,objective,,,,An institution under the executive arm of government responsible for formulating and implementing government policies is the ________,public service,public corporation,civil service,judicial service,C,https://myschool.ng/classroom/government/57957?exam_type=waec&exam_year=2020&type=obj&page=6
2020,6,27,objective,,,,The following are means of controlling public corporation except _________,legislative control,judicial control,ministerial control,chief of staff control,D,https://myschool.ng/classroom/government/57963?exam_type=waec&exam_year=2020&type=obj&page=6
2020,6,28,constitution,,,,The institution established by the constitution to be responsible for recruiting personnel into the civil service is the ___________,personnel management office,office of the president,National labour commission,Public service commission,D,https://myschool.ng/classroom/government/57967?exam_type=waec&exam_year=2020&type=obj&page=6
2020,6,29,objective,,,,"If a winner emerges in an election as a result of his/her votes being more than the combined votes of the opposing contestants, what types of electoral system is being practised?",Absolute majority,plurality,second ballot,alternative vote,A,https://myschool.ng/classroom/government/57988?exam_type=waec&exam_year=2020&type=obj&page=6
2020,6,30,objective,,,,Which of the following is a function of an electoral commission?,adjudicating election petitions,provision of electoral registers,disciplining personnel in the civil service,promotion of public servants,B,https://myschool.ng/classroom/government/58002?exam_type=waec&exam_year=2020&type=obj&page=6
2020,7,31,objective,,,,Which of the following is not an electoral malpractice?,impersonation,threatening,campaigning for a candidate,gerrymandering,C,https://myschool.ng/classroom/government/58003?exam_type=waec&exam_year=2020&type=obj&page=7
2020,7,32,objective,,,,Local government sources of revenue can best be improved through?,schools,the collection of import duties,the provision of housing units,cottage industries,D,https://myschool.ng/classroom/government/58004?exam_type=waec&exam_year=2020&type=obj&page=7
2020,7,33,objective,,,,"Public opinion is important in that, it ________",helps political parties to assess their policies,creates delays in the execution of policies,may be unreliable and misleading,can be manipulated by political opponents,A,https://myschool.ng/classroom/government/58005?exam_type=waec&exam_year=2020&type=obj&page=7
2020,7,34,objective,,,,One of the features of pressure groups is that all members ________,are rich,think in the same way,have similar interests,oppose the government,C,https://myschool.ng/classroom/government/58006?exam_type=waec&exam_year=2020&type=obj&page=7
2020,7,35,objective,,,,"Which of the following modes of operation of pressure group undermines the economic, social and political stability of the state ________",Lobbying,symposia,strikes,debates,C,https://myschool.ng/classroom/government/58007?exam_type=waec&exam_year=2020&type=obj&page=7
2020,8,36,objective,,,,The police perform all the following functions except ________,Public execution of law breakers,prosecuting law breakers,protection of life and property,enforcement of law and order,A,https://myschool.ng/classroom/government/58008?exam_type=waec&exam_year=2020&type=obj&page=8
2020,8,37,objective,,,,Which of the following is a reason for the failure of the assimilation policy in French West Africa?,The change in name of their culture,The refusal of the African to be culturally colonized,The paternal policy of the French,Bribery of the opinion leaders by the French,B,https://myschool.ng/classroom/government/58009?exam_type=waec&exam_year=2020&type=obj&page=8
2020,8,38,objective,,,,The capital of the French Federation of West Africa states was located in?,"Bamako, Mali","Dakar, Senegal",Conakry. Guinea,"Niamey,Niger",B,https://myschool.ng/classroom/government/58010?exam_type=waec&exam_year=2020&type=obj&page=8
2020,8,39,objective,,,,"Under the crown colony system of administration, major policies were implemented in the colonies by the ________",Chiefs and their elders,Secretary of states for the colonies,Chiefs and the British,Colonial governor,D,https://myschool.ng/classroom/government/58011?exam_type=waec&exam_year=2020&type=obj&page=8
2020,8,40,objective,,,,One way of improving productivity in the public service is through?,promotion without examination,higher salaries and allowances,increase in working hours,open door policy,B,https://myschool.ng/classroom/government/58012?exam_type=waec&exam_year=2020&type=obj&page=8
2020,9,41,objective,,,,"Which of the following made the colonial Government a "" Virtual Dictator""?",Legislative council,Executive council,appointment of departmental heads,Reserved veto powers,D,https://myschool.ng/classroom/government/58013?exam_type=waec&exam_year=2020&type=obj&page=9
2020,9,42,objective,,,,Which of the following is a feature of the French policy of Association?,Elevation of the position of the chiefs,French citizenship to subjects,scholarships to needy students,language barrier and race,B,https://myschool.ng/classroom/government/58014?exam_type=waec&exam_year=2020&type=obj&page=9
2020,9,43,objective,,,,The African Union is most often unable to resolve conflicts because of _________,financial weekness,absence of African High Command,Differences in Culture,Language barrier and race,D,https://myschool.ng/classroom/government/58015?exam_type=waec&exam_year=2020&type=obj&page=9
2020,9,44,objective,,,,The formation of the African Union is aimed at achieving a wider goal of ________,cultural integration,continental government,national solidarity,African identity,D,https://myschool.ng/classroom/government/58016?exam_type=waec&exam_year=2020&type=obj&page=9
2020,9,45,objective,,,,"A major advantage of a country's foreign policy is that, it __________",encourages infringement on the territories of other states,promotes the country's national interest,stimulates political activities in the state,promotes understanding between the leaders and the led,B,https://myschool.ng/classroom/government/58017?exam_type=waec&exam_year=2020&type=obj&page=9
2020,10,46,objective,,,,The West African Students Union (WASU) was formed by _______,Siaka Stevens,K. A. Gbedemah,E.F Small,Oladipo Solake,D,https://myschool.ng/classroom/government/58018?exam_type=waec&exam_year=2020&type=obj&page=10
2020,10,47,objective,,,,A military coup d'etat is followed by _________,enforcement of fundamental human rights,suspension of the constitution,breaking of diplomatic relations with foreign countries,mass importation of firearms,B,https://myschool.ng/classroom/government/58019?exam_type=waec&exam_year=2020&type=obj&page=10
2020,10,48,objective,,,,Which of the following countries is a unitary state?,Nigeria,Egypt,Ghana,Canada,,https://myschool.ng/classroom/government/58020?exam_type=waec&exam_year=2020&type=obj&page=10
2020,10,49,objective,,,,Which of the following does not influence a country's foreign policy?,Desire for foreign investments,"International law, Conventions and Treaties",Religion and racial factors,Age of the leader,D,https://myschool.ng/classroom/government/58021?exam_type=waec&exam_year=2020&type=obj&page=10
2020,10,50,objective,,,,The National Congress of British West Africa (NCBWA) was founded in _______,Sierra Leone,Liberia,Ghana,Nigeria,C,https://myschool.ng/classroom/government/58023?exam_type=waec&exam_year=2020&type=obj&page=10
