Year,Page,Question_Number,Question_Type,Instruction,Passage,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2020,1,1,objective,,,"From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. A guest should not make _derogatory_ remarks about what he is offered by his host but __________ statements.",candid,appealing,polite,complimentary,D,https://myschool.ng/classroom/english-language/58755?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,2,objective,,,"From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. The audience _applauded_ the last speaker, but the first was",booed,rejected,abused,scorned,A,https://myschool.ng/classroom/english-language/58756?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,3,objective,,,"From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. The commander said that _raw_ recruits could not dislodge the enemies: he needed______ men.",skilled,practical,learned,seasoned,A,https://myschool.ng/classroom/english-language/58757?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,4,objective,,,"From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. John gave a _fictitious_ account of the incident but his son's account was_______",probable,compelling,factual,necessary,C,https://myschool.ng/classroom/english-language/58758?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,5,objective,,,"From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. While the refuse dump smelled _fetid_ , the orchard exuded a_______Smell.",fragrant,spicy,clean,dry,A,https://myschool.ng/classroom/english-language/58759?exam_type=waec&exam_year=2020&type=obj&page=1
2020,2,6,objective,,,"From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Only some of the accused were _acquitted_ : the rest were________",remanded,convicted,detained,interdicted,B,https://myschool.ng/classroom/english-language/58760?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,7,objective,,,"From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. The principal chastised Ben for his use of _coarse_ language and advised him to emulate his sister's ________ behaviour.",pure,neat,refined,organised,C,https://myschool.ng/classroom/english-language/58761?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,8,objective,,,"From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. It would have been my pleasure to _accept_ your invitation but I have to ________ it because of a previous engagement.",jettison,defer,suspend,decline,D,https://myschool.ng/classroom/english-language/58762?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,9,objective,,,"From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. Older people are expected to be ________ where youths are _green_ .",experienced,cautious,equipped,considerate,A,https://myschool.ng/classroom/english-language/58763?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,10,objective,,,"From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will, at the same time, correctly fill the gap in the sentence. I _accidentally_ stepped on my brother but he told Mummy I did it ________",thoughtfully,intuitively,deliberately,annoyingly,C,https://myschool.ng/classroom/english-language/58764?exam_type=waec&exam_year=2020&type=obj&page=2
2020,3,11,objective,,,"From the words lettered A to D, choose the word that best completes each of the following sentences. The runner was_________ at fifteen seconds at the end of the race.",taped,timed,belled,flagged,B,https://myschool.ng/classroom/english-language/58765?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,12,objective,,,"From the words lettered A to D, choose the word that best completes each of the following sentences. The appellate court has ________ the decision of the lower court.",obstructed,nullified,neutralized,balanced,B,https://myschool.ng/classroom/english-language/58766?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,13,objective,,,"From the words lettered A to D, choose the word that best completes each of the following sentences. The defeated boxer left the ring looking extremely_________",dislocated,distorted,desert,dejected,D,https://myschool.ng/classroom/english-language/58767?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,14,objective,,,"From the words lettered A to D, choose the word that best completes each of the following sentences. There is an election _________ pending against the senator.",application,appeal,petition,complaint,C,https://myschool.ng/classroom/english-language/58768?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,15,objective,,,"From the words lettered A to D, choose the word that best completes each of the following sentences. The manager was not in when Addo called, so he left his ________ card.",supplementary,complimentary,complementary,identification,B,https://myschool.ng/classroom/english-language/58769?exam_type=waec&exam_year=2020&type=obj&page=3
2020,4,16,objective,,,"From the words lettered A to D, choose the word that best completes each of the following sentences. Coming from the kitchen was the sweet ________ of Mummy's soup.",aroma,odour,fragrance,scent,A,https://myschool.ng/classroom/english-language/58772?exam_type=waec&exam_year=2020&type=obj&page=4
